time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20240701T000000,AMD,Seagate names Futoshi Niizumaas New Vice President Asia Pacific and Japan Sales,MediaNews4U,0.18915,Somewhat-Bullish,0.128834,0.631222
20240701T015000,AMD,Spear Alpha (SPRX) 1Q24 Quarterly Letter,Investing.com,0.266745,Somewhat-Bullish,0.120646,0.722720
20240701T114614,AMD,"Joe Costello sells Metrics, his latest EDA startup",eeNews Europe,0.210542,Somewhat-Bullish,0.331981,0.633187
20240705T113815,AMD,Better Chip Stock: Arm Holdings vs. Intel,Yahoo Finance,0.100641,Neutral,0.124946,0.720732
20240705T121918,AMD,Nokia sees South Korea as pioneer country in the 6G field,RCR Wireless News,0.323625,Somewhat-Bullish,0.102500,0.570380
20240708T000000,AMD,Applied Materials reveals chip wiring innovations for energy-efficient computing,Venturebeat,0.409856,Bullish,0.325563,0.727641
20240709T105000,AMD,Corsair Unveils Stunning 3500X Case For Gaming PCs And It's Surprisingly Affordable,HotHardware,0.307022,Somewhat-Bullish,0.334237,0.726645
20240709T121253,AMD,Resonac Announces New US-JOINT Consortium; Ten Partners to Collaborate on Next-Generation Semiconductor Packaging in Silicon Valley,AZoM,0.235565,Somewhat-Bullish,0.312555,0.735546
20240709T121556,AMD,Microchip Launches PIC64 Portfolio for Embedded and Space Apps,EE Times,0.250144,Somewhat-Bullish,0.274799,0.560140
20240710T000000,AMD,U.S. Navy Funds Mercury to Advance Chip-Scale Technologies,Seapower Magazine,0.318147,Somewhat-Bullish,0.312115,0.724307
20240710T113724,AMD,AMD acquires language model developer Silo AI for $665M,SiliconANGLE,0.298833,Somewhat-Bullish,0.467920,1.000000
20240710T113725,AMD,AMD to Acquire Silo AI to Expand Enterprise AI Solutions Globally,AMD,0.887566,Bullish,0.886302,1.000000
20240710T115124,AMD,Where does eBay do most of its AI development? You might be surprised,SiliconANGLE,0.333467,Somewhat-Bullish,0.290821,0.560923
20240710T130500,AMD,AMD to Buy European AI Lab Silo in Race Against Nvidia,Bloomberg.com,0.170372,Somewhat-Bullish,0.436315,1.000000
20240713T000000,AMD,ASE launches new testing facility in San Jose on AI demand,Taipei Times,0.260798,Somewhat-Bullish,0.307836,0.716344
20240716T000000,AMD,Aehr Test Systems Reports Fiscal 2024 Fourth Quarter and Full Year Financial Results and Provides Fiscal 2025 Full Year Financial Guidance,Aehr Test Systems,0.124544,Neutral,0.109077,0.604769
20240716T113558,AMD,Aehr Receives $12.7 Million in Orders for FOX WaferPak™ Full Wafer Contactors to Support Production of Silicon Carbide Power Devices for Electric Vehicles,Aehr Test Systems,0.693095,Bullish,0.549385,0.612791
20240716T121027,AMD,Should I Buy Intel's Shares After Their Big Sell-Off?,Morningstar Canada,0.037121,Neutral,-0.246633,0.729556
20240716T122850,AMD,SMH ETF: Question & Answer,VanEck,0.434829,Bullish,0.403748,0.738531
20240717T000000,AMD,Thinking Thematics: Video Game ETF ESPO,ETF Trends,0.240277,Somewhat-Bullish,0.322236,0.707200
20240717T113825,AMD,"Global chip stocks from Nvidia to ASML fall on geopolitics, Trump comments",CNBC,-0.737847,Bearish,-0.742432,0.828133
20240723T121738,AMD,Impact of Microsoft Copilot+ Recall on corporate cybersecurity,Kaspersky,-0.0359,Neutral,0.097726,0.556652
20240724T113724,AMD,AMD: Premium Price For A Second-Tier Chip Player,citybiz,0.047471,Neutral,0.026713,0.343244
20240725T090843,AMD,Check out OneStream's stock price (OS) in real time,CNBC,0.1328,Neutral,0.118594,0.619795
20240729T000000,AMD,5 Stocks to Buy Now and Hold for the Long Term,Morningstar,0.159986,Somewhat-Bullish,0.212977,0.859942
20240729T113717,AMD,"[News] TSMC’s N3 Process Fuels High Demand, as Supply Chain Expected to Boom Through Next Year",TrendForce,0.250374,Somewhat-Bullish,0.348160,0.887640
20240729T122603,AMD,DDR5 vs DDR4 DRAM - All the Advantages & Design Challenges,Design And Reuse,0.302227,Somewhat-Bullish,0.272255,0.616756
20240729T170200,AMD,Rambus Expands Industry-Leading Memory Interface Chip Offering to High-Performance PCs with DDR5 Client Clock Driver,TechPowerUp,0.281967,Somewhat-Bullish,0.272052,0.720055
20240729T213300,AMD,Craig-Hallum Maintains Advanced Micro Devices(AMD.US) With Buy Rating,富途牛牛,0.748348,Bullish,0.722391,1.000000
20240730T000000,AMD,AMD Earnings: Highlights of Advanced Micro Devices’ Q2 2024 results,AlphaStreet,0.441773,Bullish,0.415568,0.964786
20240730T121729,AMD,Marvell Introduces Breakthrough Structera CXL Product Line to Address Server Memory Bandwidth and Capacity Challenges in Cloud Data Centers,PR Newswire,0.347009,Somewhat-Bullish,0.315524,0.705249
20240730T201800,AMD,AMD’s AI Growth Sends Shares on Biggest Rally Since February,Bloomberg.com,0.429503,Bullish,0.740918,0.965904
20240730T211200,AMD,Opinion: Microsoft and AMD earnings show that AI remains a game of optics,MarketWatch,0.010928,Neutral,0.041627,1.000000
20240730T211200,AMD,Opinion: Microsoft and AMD earnings show that AI remains a game of optics,MarketWatch,0.027385,Neutral,0.027697,1.000000
20240731T084300,AMD,Qualcomm Launches 5G Processor to Make Gigabit 5G More Affordable,digital terminal,0.302063,Somewhat-Bullish,0.126949,0.559117
20240731T113725,AMD,Why is Nvidia stock up? AI chip shares jump as competitor AMD reports stellar earnings revenue,Fast Company,0.359372,Bullish,0.490879,1.000000
20240731T121602,AMD,Microchip Technology Releases New dsPIC Digital Signal Controller Family,Energetica India Magazine,0.286422,Somewhat-Bullish,0.247024,0.583191
20240731T121729,AMD,Marvell presents Structera CXL product line targeting cloud data centres,New Electronics,0.263836,Somewhat-Bullish,0.326518,0.725839
20240731T165900,AMD,"Daily Options Report | CrowdStrike attacked by the Air Force! A put option made 70 times profit; AMD call options are fiercely sought after, pre-market rose more than 9% to save chip stocks.",富途牛牛,0.150201,Somewhat-Bullish,0.470462,0.877197
