time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20230103T035902,MSFT,Apple’s market value drops below $2 trillion,Al Jazeera,-0.175391,Somewhat-Bearish,-0.106817,0.634857
20230103T042218,MSFT,HDFC Bank partners with Microsoft to drive its digital transformation efforts,Techcircle,0.463108,Bullish,0.538540,0.918144
20230103T042218,MSFT,HDFC Bank partners with Microsoft as part of its digital transformation journey,Microsoft Source,0.262913,Somewhat-Bullish,0.471282,0.960538
20230103T042553,MSFT,Pulp and Paper Industry 2022 Year in Review,ResourceWise,0.217113,Somewhat-Bullish,0.248360,0.575850
20230103T044644,MSFT,A bird’s eye view of Data Centers,INDOlink,0.332704,Somewhat-Bullish,0.329443,0.606999
20230103T090000,MSFT,CES: Intel Extends Performance Leadership with World's Fastest Mobile Processor,Investor Relations :: Intel Corporation (INTC),0.382687,Bullish,0.296173,0.642060
20230103T183700,MSFT,Amazon's AWS Growth Strategy Probably More Sustainable Than Oracle's (AMZN),Seeking Alpha,-0.063848,Neutral,0.083014,0.626959
20230104T040113,MSFT,AMD Highlights Future of High-Performance and Adaptive Computing During Opening Keynote of CES 2023,AMD,0.25103,Somewhat-Bullish,0.208475,0.614749
20230104T041031,MSFT,Salesforce to cut 10% of workforce in latest tech layoffs,Al Jazeera,0.185263,Somewhat-Bullish,0.104050,0.612645
20230104T041750,MSFT,Distributed Cloud Global Market Report 2022: Ukraine-Russia War Impact,GlobeNewswire,0.328885,Somewhat-Bullish,0.333473,0.746453
20230104T042318,MSFT,HP launches PCs for hybrid workers with 'world-first' dual-camera setups,IT Pro,0.232997,Somewhat-Bullish,-0.132915,0.607160
20230104T044644,MSFT,The Power of 7: Tech that will disrupt 2023,Sify News,0.255036,Somewhat-Bullish,0.317041,0.634018
20230105T043846,MSFT,PurpleUrchin Bypasses CAPTCHA and Steals Cloud Platform Resources,Unit 42,-0.181944,Somewhat-Bearish,-0.307424,0.606472
20230105T140000,MSFT,Warning over ransomware attacks spreading via Fortinet kit,Computer Weekly,-0.165171,Somewhat-Bearish,-0.118219,0.555522
20230106T040756,MSFT,Comcast Promotes Jason S. Armstrong to CFO,Variety,0.189306,Somewhat-Bullish,0.131308,0.622852
20230106T044802,MSFT,Sony: Japanese Emperor With Diversified Growth (NYSE:SONY),Seeking Alpha,0.30948,Somewhat-Bullish,0.142819,0.622821
20230106T044922,MSFT,"ATCO acquires $713M wind, solar portfolio from Suncor",SustainableBiz,0.036897,Neutral,0.313669,0.732366
20230106T192400,MSFT,China’s NetEase buys Halo co-developer SkyBox Labs in global expansion drive,Reuters,0.246397,Somewhat-Bullish,0.293090,0.741887
20230109T044645,MSFT,2023 Blue Arc e-Van First Drive: An Anti-Startup Goes Electric,MotorTrend,0.391313,Bullish,0.253918,0.550935
20230109T045556,MSFT,WPP strengthens Salesforce expertise with Fenom Digital acquisition,Marketing Dive,-0.058749,Neutral,-0.119689,0.637318
20230110T000000,MSFT,DXC Technology Identifies Five Cybersecurity Trends that will Impact Life and Business in 2023 and Beyond,DXC Technology,0.289346,Somewhat-Bullish,0.115735,0.611187
20230110T041837,MSFT,Are You Ready To Step Up To B2B Marketing’s New Destiny?,Forrester,0.236325,Somewhat-Bullish,0.203576,0.563240
20230110T042539,MSFT,Intel 4th Gen Xeon series offers a leap in data center performance and efficiency,SiliconANGLE,0.504983,Bullish,0.545292,0.647286
20230110T042539,MSFT,"Intel Launches 4th Gen Xeon Scalable Processors, Max Series CPUs and GPUs",Investor Relations :: Intel Corporation (INTC),0.338276,Somewhat-Bullish,0.308377,0.638355
20230110T042541,MSFT,Networked Quantum Computers: IonQ Acquires Assets of Entangled Networks,IonQ: Trapped Ion Quantum Computing,0.283181,Somewhat-Bullish,0.133552,0.644018
20230110T042542,MSFT,IonQ acquires quantum networking startup Entangled Networks,SiliconANGLE,0.322136,Somewhat-Bullish,0.133852,0.619732
20230110T042712,MSFT,The 7 Best Mutual Funds for Your 401k,InvestorPlace,0.253734,Somewhat-Bullish,0.308796,0.616903
20230110T043357,MSFT,Resilient Retail,Microsoft,0.324065,Somewhat-Bullish,0.441765,1.000000
20230110T043443,MSFT,"Collective intelligence exponentially outperforms any one person or idea:"" An interview with N-able's John Pagliuca",Computing UK,0.367154,Bullish,0.343737,0.629018
20230110T043611,MSFT,"Thousands reportedly laid off at Cloud Software Group, the parent company of Citrix",SiliconANGLE,0.071947,Neutral,-0.144132,0.624527
20230112T041312,MSFT,Cognizant appoints ex-Infosys president Ravi Kumar as CEO,Techcircle,0.174989,Somewhat-Bullish,0.345916,0.645432
20230112T043234,MSFT,Meta faces a future of more legal woes and falling revenues,DW.com,-0.231634,Somewhat-Bearish,-0.134160,0.552836
20230112T045200,MSFT,Buffett-Backed Taiwan Semiconductor Braces for Chip-Sector Downturn,Barron's,-0.198126,Somewhat-Bearish,-0.129351,0.585563
20230112T202400,MSFT,"Google, Nvidia Express Concerns to FTC About Microsoft’s Activision Deal",Bloomberg.com,-0.197149,Somewhat-Bearish,-0.349878,0.914517
20230113T043813,MSFT,Oracle jumps into payments for retailers,Payments Dive,0.314426,Somewhat-Bullish,0.226062,0.618633
20230117T040410,MSFT,Banco de Chile y SKY suman nuevos beneficios para sus clientes,Chócale,0.304722,Somewhat-Bullish,0.103195,0.644173
20230117T040521,MSFT,Biometric Sensors Market Size to Touch USD 3.5829 million by 2030 According to Acumen Research and Consulting,GlobeNewswire,0.318477,Somewhat-Bullish,0.305389,0.807030
20230117T041208,MSFT,Rio Tinto Lowers Production Forecast for Diavik Mine,IDEX Online,-0.140276,Neutral,-0.249074,0.636950
20230117T043357,MSFT,World Economic Forum Establishes Purpose-driven Metaverse to Tackle World’s Most Pressing Challenges,Accenture,0.006229,Neutral,0.013166,0.301702
20230117T044210,MSFT,The January 2023 Patch Tuesday Security Update Review,Qualys,0.345366,Somewhat-Bullish,0.307679,0.909297
20230117T090000,MSFT,TD SYNNEX Unveils New Fraud Defense Solution to Combat Widespread Security Risks,FinancialContent,0.333522,Somewhat-Bullish,0.307523,0.640087
20230118T043357,MSFT,"Microsoft to shed 10,000 jobs, adding to glut of tech layoffs",Reuters,-0.223288,Somewhat-Bearish,-0.222881,1.000000
20230118T043500,MSFT,"nCino lays off 7% of workforce, CFO exits",Port City Daily,-0.177166,Somewhat-Bearish,-0.101053,0.623847
20230118T043846,MSFT,"Rubrik grows fast, ex-CEO of Palo Alto Networks joins board",Techzine Global,0.138897,Neutral,0.148691,0.607460
