time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20241202T040000,NVDA,"European AI infra company Nebius nabs $700M from Nvidia, Accel, others",TechCrunch,0.393278,Bullish,0.311781,0.824307
20241202T072118,NVDA,Nvidia leads $700M investment in ex-Yandex CEO Arkady Volozh’s Nebius Group to fuel AI infrastructure growth,CTech,0.253437,Somewhat-Bullish,0.433020,0.891346
20241202T080937,NVDA,Should iShares S&P 500 Growth ETF (IVW) Be on Your Investing Radar?,TradingView — Track All Markets,0.374906,Bullish,0.311740,0.632360
20241202T131200,NVDA,Amazon to pilot AI-designed material for carbon removal,Reuters,0.167581,Somewhat-Bullish,0.139350,0.607778
20241202T152600,NVDA,Tesla leads November's global market value surge,Reuters,0.436678,Bullish,0.124894,0.624993
20241203T000000,NVDA,Why Microchip Technology (MCHP) Shares Are Trading Lower Today,Yahoo Finance,-0.096197,Neutral,0.338972,0.628532
20241203T000000,NVDA,Broadcom Earnings: Will AI Revenue Spark Gains or Byte-Sized Losses?,Direxion,0.252709,Somewhat-Bullish,0.249977,0.683243
20241203T000000,NVDA,"ZJK Industrial up 172% on NVIDIA cooling components deal, enhanced collaboration",Mugglehead Magazine,0.548561,Bullish,0.699279,0.858793
20241203T173400,NVDA,Why Momentum Stocks & ETFs Are Crushing the Market,Nasdaq,0.296995,Somewhat-Bullish,0.334205,0.861743
20241204T071640,NVDA,ASX November Tech Winners: NoviqTech leads as AI boom lifts ASX technology stocks,Stockhead,0.235531,Somewhat-Bullish,0.347582,0.638419
20241204T145157,NVDA,REX Crypto Equity Premium Income ETF Holdings,Quiver Quantitative,0.231404,Somewhat-Bullish,0.222550,0.842673
20241205T000000,NVDA,Why Penguin Solutions Could Be the AI Sleeper Stock of 2025,The Globe and Mail,0.209754,Somewhat-Bullish,0.307010,0.697790
20241205T000000,NVDA,ZJK Stock Skyrockets Following NVIDIA Partnership News,Entrepreneur,0.385636,Bullish,0.321225,0.800785
20241205T055134,NVDA,"RiverNorth Flexible Municipal Income Fund II, Inc. (RFMZ) Stock Forecast & Price Prediction 2026–2030",CoinCodex,0.240705,Somewhat-Bullish,0.317277,0.631346
20241205T080000,NVDA,Nvidia tangos with an activist hedge fund: An excerpt from Tae Kim's new book on the tech giant,CNBC,0.488876,Bullish,0.454325,1.000000
20241205T135251,NVDA,"REX Crypto Equity Premium Income ETF ETF Price, Holdings, & News (NASDAQ:CEPI)",MarketBeat,0.137455,Neutral,0.132435,0.649566
20241206T000000,NVDA,NVIDIA Corporation (NVDA) Selects ZJK Industrial for Advanced Liquid Cooling Manifold Project,Yahoo Finance,0.261372,Somewhat-Bullish,0.480521,1.000000
20241206T000000,NVDA,Nvidia Could See Competition From Magnificent Seven Peer,ETF Trends,0.24726,Somewhat-Bullish,0.258066,1.000000
20241206T000000,NVDA,Thailand and Vietnam Embrace Sovereign AI to Drive Economic Growth,NVIDIA Blog,0.496892,Bullish,0.487560,1.000000
20241206T110400,NVDA,"Is AMD Stock's 7.19X P/S Still Worth it? Buy, Sell or Hold?",Nasdaq,0.14126,Neutral,0.098409,0.865176
20241206T120800,NVDA,"10 fast-growing software stocks to watch in 2025, including the runaway Palantir",MarketWatch,0.379402,Bullish,0.349291,0.800186
20241206T182744,NVDA,Soluna Holdings (SLNH) Partners with SF Compute to Power AI with NVIDIA H100 GPUs,Yahoo Finance,0.248841,Somewhat-Bullish,0.227837,0.814176
20241207T000000,NVDA,"Advanced Micro Devices (AMD) Challenges NVIDIA with Faster, Cheaper AI Chip Alternatives",Yahoo Finance,0.040213,Neutral,-0.246244,0.832212
20241207T055729,NVDA,Why Is Adobe Inc. (ADBE) Among the Best Tech Stocks for Long Term Investment?,Yahoo Finance,0.357851,Bullish,0.545535,0.603766
20241207T110000,NVDA,"AI's growth is just getting started, BlackRock's thematic ETF head says",CNBC,0.362389,Bullish,0.444976,0.851904
20241209T000000,NVDA,"Pelican-2 & 36 SuperDoves Arrived in Vandenberg, California For Launch",Planet Labs,0.564861,Bullish,0.552034,0.831113
20241209T003912,NVDA,QBIG Stock Price | Invesco Top QQQ ETF,Investing.com,0.161652,Somewhat-Bullish,0.328448,0.724825
20241209T025250,NVDA,GraniteShares 2x Long NVDA Daily ETF (NVDL) Stock Price Quote Today & Current Price Chart,Capital.com,0.083155,Neutral,0.122497,0.829437
20241209T064811,NVDA,The next wave of AI: Demand and adoption,Barclays Investment Bank,0.442031,Bullish,0.600830,0.852941
20241209T072313,NVDA,Nvidia investigation: China investigating Silicon Valley-based tech company over anti-monopoly law; here's what we know,ABC7 San Francisco,-0.214648,Somewhat-Bearish,-0.270914,1.000000
20241209T073228,NVDA,"Schwab Trading Activity Index™: November Score Rises Modestly Following Fed, Election Decisions",About Schwab,0.220709,Somewhat-Bullish,0.341436,0.619727
20241209T074243,NVDA,AI Studios: Interview With Founder & CEO Eric Seyoung Jang About The Realistic AI Avatar Company,Pulse 2.0,0.259931,Somewhat-Bullish,0.325278,0.613169
20241209T094900,NVDA,"China opens probe into Nvidia, accusing company of violating its anti-monopoly law",NBC News,0.008556,Neutral,0.018853,0.308987
20241209T130000,NVDA,CoreWeave and Dell Technologies Extend Relationship to Deliver AI at Scale,PR Newswire,0.26746,Somewhat-Bullish,0.322719,0.893362
20241209T164400,NVDA,Why Marvell Technology is the next AI winner,Techzine Global,0.196981,Somewhat-Bullish,0.321034,0.608768
20241210T064939,NVDA,Does Dividend Investing Still Work?,Morningstar,0.122462,Neutral,0.121944,0.722672
20241210T071131,NVDA,Infleqtion Delivers First Quantum Material Design Application Powered by Logical Qubits and NVIDIA CUDA-Q,The Quantum Insider,0.47252,Bullish,0.422941,0.884769
