time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20241202T000000,PLTR,S&P 500 rises 5.7% in November to log best month of 2024,S&P Global,0.333923,Somewhat-Bullish,0.448454,0.834737
20241202T000000,PLTR,Best- and Worst-Performing Stocks of November 2024,Morningstar,0.267409,Somewhat-Bullish,0.733103,0.933433
20241202T165700,PLTR,Bitcoin ETFs Showdown: BTCW Falls Short Against IBIT,Seeking Alpha,0.040307,Neutral,0.231091,0.566501
20241203T001114,PLTR,"PTIR: GraniteShares 2x Long PLTR Daily ETF Latest Stock Price, Analysis, News and Trading Ideas",Stocktwits,0.397713,Bullish,0.391132,0.841345
20241203T072705,PLTR,Palantir Granted FedRAMP High Baseline Authorization,Palantir,0.49765,Bullish,0.473627,1.000000
20241203T123927,PLTR,"GraniteShares 2x Long PLTR Daily ETF (PTIR) News, Articles, Events & Latest Updates",Stocktwits,0.229932,Somewhat-Bullish,0.422137,0.930033
20241203T201500,PLTR,Palantir's CTO Shyam sells shares worth $367.9 million,Investing.com,-0.202833,Somewhat-Bearish,-0.201958,1.000000
20241206T120800,PLTR,"10 fast-growing software stocks to watch in 2025, including the runaway Palantir",MarketWatch,0.396631,Bullish,0.516303,1.000000
20241206T142700,PLTR,"Stocks to Watch | Annual NASDAQ-100 ""Rebalancing"" Set to Begin! Which Companies Will Enter and Exit?",Sahm,0.262635,Somewhat-Bullish,0.331376,0.869867
20241209T073228,PLTR,"Schwab Trading Activity Index™: November Score Rises Modestly Following Fed, Election Decisions",About Schwab,0.239894,Somewhat-Bullish,0.330066,0.625852
20241210T114600,PLTR,Why BigBear.ai Stock Is Sinking Today,The Motley Fool,-0.151734,Somewhat-Bearish,0.140349,0.631683
20241211T000000,PLTR,New Direxion ETFs Focus On Palantir and Berkshire Hathaway,ETF Trends,0.366373,Bullish,0.346158,0.922271
20241211T000000,PLTR,New Direxion ETFs Focus On Palantir and Berkshire Hathaway,ETF Database,0.178668,Somewhat-Bullish,0.343714,0.909504
20241211T031318,PLTR,New Direxion ETFs Focus On Palantir and Berkshire Hathaway,ETF Database,0.373865,Bullish,0.327570,0.913512
20241211T053940,PLTR,New Direxion ETFs Focus On Palantir and Berkshire Hathaway,ETF Trends,0.172932,Somewhat-Bullish,0.260052,0.849104
20241211T071636,PLTR,Palantir launches inaugural Warp Speed cohort to boost U.S. manufacturing,SDxCentral,0.361685,Bullish,0.448101,0.935431
20241213T000000,PLTR,"Palantir, MicroStrategy, and Axon Enterprise To Join Nasdaq 100",Yahoo Finance,0.254913,Somewhat-Bullish,0.484023,0.953850
20241213T082000,PLTR,"Palantir, MicroStrategy, and Axon Enterprise To Join Nasdaq 100",Investopedia,0.147053,Neutral,0.484209,0.913050
20241213T092500,PLTR,1 Spectacular Artificial Intelligence (AI) ETF to Buy With $40 During the S&P 500 Bull Market,Yahoo Finance,0.292638,Somewhat-Bullish,0.141300,0.711382
20241214T011000,PLTR,"Nasdaq Announces Annual Reconstitution of the Nasdaq-100 Index, Adding Palantir, MicroStrategy, and Axon",Quiver Quantitative,0.318726,Somewhat-Bullish,0.348096,0.808637
20241216T072705,PLTR,Red Cat Partners with Palantir to Equip Black Widow with Aut,ASDNews,0.468784,Bullish,0.456388,1.000000
20241217T105500,PLTR,Palantir’s high valuation paints a stark picture of the S&P 500’s priciest picks,MarketWatch,0.078556,Neutral,0.036379,1.000000
20241217T122400,PLTR,"AI Stock Klaviyo Breaks Out To New Highs, Tops Latest Entry",Investor's Business Daily,0.241071,Somewhat-Bullish,0.120532,0.649635
20241218T000000,PLTR,Video & AI specialist Maris-Tech surges on release of ‘Uranus-Drones’ system,Mugglehead Magazine,0.215415,Somewhat-Bullish,0.141149,0.638809
20241218T175250,PLTR,"YieldMax Dorsey Wright Hybrid 5 Income ETF ETF Price, Holdings, & News (NASDAQ:FIVY)",MarketBeat,0.301262,Somewhat-Bullish,0.306729,0.701726
20241219T000000,PLTR,Surf Air Mobility Appoints David Anderman to Board of Directors,Business Wire,0.221836,Somewhat-Bullish,0.234424,0.639794
20241230T000000,PLTR,3 Market-Beating Growth Stocks to Watch in 2025,MarketBeat,0.228427,Somewhat-Bullish,0.109827,0.627636
20241230T100400,PLTR,Palantir Stock Went 4.5x This Year: Time To Rethink?,Forbes,-0.07724,Neutral,-0.213800,1.000000
20241231T073000,PLTR,These 20 stocks in the S&P 500 rose the most in 2024,MarketWatch,0.70568,Bullish,0.714480,1.000000
