time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20241001T000000,TSLA,"Solar, Wind, Hydro: A Guide to Alternative Energy ETFs",ETF.com,0.405346,Bullish,0.409855,0.646763
20241001T030500,TSLA,Threat assessment: ranking risk among US companies dealing with China,South China Morning Post,-0.246483,Somewhat-Bearish,-0.345515,0.860970
20241001T091741,TSLA,"Tesla to End LiveOne Streaming Subsidies for Customers, Sending LiveOne Stock Down 23%",Billboard,-0.49367,Bearish,-0.205565,0.831643
20241002T102600,TSLA,U.S. Ford Motor Company Sales Fell 11 Percent In September 2024,Ford Authority,-0.153187,Somewhat-Bearish,0.135375,0.643509
20241004T000000,TSLA,Tesla to stop subsidizing LiveOne music subscriptions,IMDb,-0.092567,Neutral,-0.210756,0.935385
20241005T093200,TSLA,"Oracle's Larry Ellison is getting richer, rivaling Musk, Bezos, Zuckerberg",Fox Business,0.205383,Somewhat-Bullish,0.149648,0.633374
20241008T000000,TSLA,Vision Marine Technologies Energizes Electric Boating with Advanced Battery Systems,Southern Boating & Yachting,0.553381,Bullish,0.315215,0.637413
20241009T053700,TSLA,"Tesla ETFs in Focus Ahead of ""Robotaxi"" Event",TradingView,0.295683,Somewhat-Bullish,0.333151,1.000000
20241009T063800,TSLA,GM says its EV losses are peaking,E&E News by POLITICO,0.1792,Somewhat-Bullish,0.044512,0.501953
20241009T100000,TSLA,"Tesla ETFs in Focus Ahead of ""Robotaxi"" Event",Nasdaq,0.370387,Bullish,0.418207,1.000000
20241010T075000,TSLA,"Shift to EV-only future would spell job losses, Toyota chairman warns",Reuters,-0.180267,Somewhat-Bearish,-0.180861,0.607782
20241010T091944,TSLA,Inside the CMI Hitlist: The Five Critical Minerals Shaping Global Supply Chains,InvestorNews,0.096572,Neutral,0.219003,0.636544
20241011T083924,TSLA,PLTY Stock Price | YieldMax PLTR Option Income Strategy ETF,Investing.com,0.016391,Neutral,0.011266,0.620649
20241011T102500,TSLA,"After Vistra Stock’s (VST) 200%+ Move This Year, Is There More Potential Upside Before Q3 Earnings?",Nasdaq,0.212172,Somewhat-Bullish,0.145602,0.559532
