Date,Open,High,Low,Close,Volume,Symbol
2023-01-03,6.58,6.64,6.275,6.39,29969947,PLTR
2023-01-04,6.48,6.675,6.37,6.58,31660509,PLTR
2023-01-05,6.45,6.49,6.25,6.32,34185994,PLTR
2023-01-06,6.4,6.4499,6.09,6.4,30596404,PLTR
2023-01-09,6.49,6.67,6.4,6.5,31028876,PLTR
2023-01-10,6.5,6.72,6.49,6.7,28236577,PLTR
2023-01-11,6.84,6.99,6.76,6.98,25936693,PLTR
2023-01-12,7.01,7.05,6.78,7.01,30152469,PLTR
2023-01-13,6.84,7.01,6.81,6.96,20981000,PLTR
2023-01-17,6.99,7.15,6.73,7.07,30910341,PLTR
2023-01-18,7.155,7.3,6.88,6.9,32743429,PLTR
2023-01-19,6.8,6.895,6.67,6.73,24841655,PLTR
2023-01-20,6.76,7.06,6.72,7.02,28751729,PLTR
2023-01-23,7.03,7.41,6.9910000000000005,7.38,31633292,PLTR
2023-01-24,7.0,7.42,7.0,7.02,22649500,PLTR
2023-01-25,6.92,7.27,6.69,7.22,37147944,PLTR
2023-01-26,7.37,7.45,7.04,7.24,28005624,PLTR
2023-01-27,7.19,7.73,7.14,7.55,37555172,PLTR
2023-01-30,7.5,7.61,7.36,7.37,28567795,PLTR
2023-01-31,7.41,7.82,7.38,7.78,40984037,PLTR
2023-02-01,7.73,8.22,7.6803,8.2,50123739,PLTR
2023-02-02,8.51,9.21,8.47,8.99,71889705,PLTR
2023-02-03,8.54,8.9,8.3732,8.41,64785463,PLTR
2023-02-06,8.31,8.535,8.24,8.31,38845474,PLTR
2023-02-07,8.33,8.41,8.06,8.33,42201785,PLTR
2023-02-08,8.25,8.57,8.17,8.22,35105483,PLTR
2023-02-09,8.34,8.43,7.94,7.95,33366661,PLTR
2023-02-10,7.79,7.86,7.46,7.51,43042403,PLTR
2023-02-13,7.58,7.775,7.45,7.61,87397065,PLTR
2023-02-14,8.59,9.295,8.23,9.22,216055237,PLTR
2023-02-15,9.16,10.23,9.11,10.11,153514526,PLTR
