Date,Open,High,Low,Close,Volume,Symbol
2023-01-03,35.69,36.48,34.65,35.68,18847042,SHOP
2023-01-04,36.29,37.77,35.71,37.54,20072541,SHOP
2023-01-05,36.55,36.79,35.36,35.95,16462144,SHOP
2023-01-06,36.11,37.25,34.97,36.85,15951860,SHOP
2023-01-09,37.7,38.49,37.16,37.19,17446564,SHOP
2023-01-10,36.97,37.4,36.04,36.5,20460420,SHOP
2023-01-11,36.64,37.35,35.78,36.44,19921804,SHOP
2023-01-12,37.29,37.4,35.6,36.76,19977561,SHOP
2023-01-13,35.8,39.07,35.67,38.89,24097436,SHOP
2023-01-17,39.19,40.3,38.05,39.98,20077182,SHOP
2023-01-18,40.38,41.03,39.095,39.17,19447829,SHOP
2023-01-19,38.42,39.47,37.91,38.06,15311855,SHOP
2023-01-20,38.58,40.48,38.1396,40.48,15073128,SHOP
2023-01-23,42.11,44.11,41.9,44.04,29496250,SHOP
2023-01-24,49.88,49.88,42.0,42.69,16032488,SHOP
2023-01-25,44.96,48.27,44.34,47.33,59097937,SHOP
2023-01-26,48.7,49.08,46.44,48.33,28958235,SHOP
2023-01-27,47.75,50.17,47.62,50.08,24480224,SHOP
2023-01-30,49.58,49.65,47.05,47.19,18872902,SHOP
2023-01-31,47.88,49.745,47.73,49.27,21531550,SHOP
2023-02-01,49.37,50.84,48.28,50.26,26964587,SHOP
2023-02-02,52.74,54.49,52.33,53.63,26663542,SHOP
2023-02-03,51.27,54.665,51.0,52.93,21572035,SHOP
2023-02-06,51.67,52.89,51.4,51.57,13585939,SHOP
2023-02-07,51.61,51.8,49.34,51.35,20441234,SHOP
2023-02-08,51.11,51.72,49.76,49.8,13116402,SHOP
2023-02-09,50.72,51.26,49.395,49.64,17396398,SHOP
2023-02-10,48.86,49.15,47.3263,48.3,14714127,SHOP
2023-02-13,48.38,49.12,47.92,48.7,11358437,SHOP
2023-02-14,48.75,50.73,47.94,50.11,18465442,SHOP
2023-02-15,51.0,53.7,50.21,53.39,37172278,SHOP
2023-02-16,45.54,46.92,44.305,44.91,66831909,SHOP
2023-02-17,44.1401,45.03,42.92,43.61,26415311,SHOP
2023-02-21,42.13,42.85,41.14,41.42,24483303,SHOP
2023-02-22,42.03,42.925,41.02,42.03,20094688,SHOP
2023-02-23,42.69,42.82,40.94,42.38,20430870,SHOP
2023-02-24,40.45,41.09,39.87,40.75,20981638,SHOP
2023-02-27,40.94,41.05,39.74,40.48,18491816,SHOP
2023-02-28,40.51,41.3592,40.41,41.14,13054857,SHOP
2023-03-01,41.14,41.45,40.0,40.1,13484780,SHOP
2023-03-02,39.12,41.41,39.02,41.18,16938049,SHOP
2023-03-03,41.31,43.489,41.22,43.4,16948499,SHOP
2023-03-06,43.71,44.055,43.17,43.48,14875092,SHOP
2023-03-07,43.12,43.68,42.22,42.46,13295688,SHOP
2023-03-08,42.38,43.82,42.025,43.7,13779357,SHOP
2023-03-09,43.73,45.98,42.74,43.0,24116751,SHOP
2023-03-10,42.14,42.635,40.5201,41.46,22080913,SHOP
2023-03-13,40.52,42.765,39.79,41.78,18922343,SHOP
2023-03-14,42.96,44.21,42.86,43.8,16867671,SHOP
2023-03-15,42.63,43.56,42.09,43.54,17052178,SHOP
2023-03-16,43.49,44.85,42.02,44.67,15411971,SHOP
2023-03-17,44.23,45.38,43.75,44.68,17938047,SHOP
2023-03-20,44.11,44.24,42.78,43.88,15361597,SHOP
2023-03-21,44.1,46.05,44.1,45.74,14747380,SHOP
2023-03-22,45.71,47.32,44.72,44.96,17080879,SHOP
