id,created_at,symbol,body,sentiment_basic
658606888,2026-07-08T22:09:47Z,ADBE,$ADBE what a bargain play lol. Literally one of the best fundamentally sound stock.,Bullish
658606021,2026-07-08T21:55:19Z,ADBE,$ADBE resistant coming up..,
658602955,2026-07-08T21:11:20Z,ADBE,$ADBE recovery is good so far but volume dying. feels like a breather is coming imo.,
658593775,2026-07-08T19:47:14Z,ADBE,"$ADBE I saw 2 fund managers this week Bob Doll and Victoria Fernandez both reccommend ADBE, It would be about time if they are correct. $TEAM $NOW $HUBS $MSFT IGV",Bullish
658590154,2026-07-08T19:21:55Z,ADBE,"Two more wrappers show how differently the market can package the same stock:    $QNXT — iShares Nasdaq-100 ex Top 30 ETF  $ADBE Weighting: 3.33%  Expense Ratio: 0.20%  5D Return: -1.82%    $IGV — iShares Expanded Tech-Software Sector ETF  $ADBE Weighting: 3.26%  Expense Ratio: 0.39%  5D Return: 3.9%    One gives you Adobe without letting the biggest Nasdaq names dominate the whole basket; the other just says, “yes, this is still software.” (5/6)",
658590137,2026-07-08T19:21:47Z,ADBE,"The ☁️ angle comes through $CLOD.    Themes Cloud Computing ETF has a 3.36% weighting to $ADBE, with a 0.35% expense ratio, and a 5D return of 2.55%.    And honestly, that one makes sense. Adobe went from boxed software nostalgia to subscription workflows → creative cloud → documents → enterprise tools → and AI features layered into the whole thing. (Photoshop CDs are not walking through that door.)   (4/6)",
658590116,2026-07-08T19:21:36Z,ADBE,"Then there’s $PKW, the Invesco BuyBack Achievers™️ ETF.    $ADBE Weighting: 4.10%  Expense Ratio: 0.62%  5D Return: 1.18%    Different lens entirely. 🧐    This isn’t “Adobe is going to the moon, chase the chart!” This is “Adobe makes the cut in a fund focused on companies that have reduced share count through buybacks.” (3/6)",
658590084,2026-07-08T19:21:25Z,ADBE,"➡️ ➡️ ➡️ Start with $VFLO.    VictoryShares Free Cash Flow ETF has $ADBE as its largest single-stock holding at 3.51%.    And that’s the part worth digging into, because Adobe isn’t being framed here as “cool software stock with AI features.” It’s being framed as a company with free-cash-flow (FCF) strength.  Exp. ratio here: 0.39%  5D return: 3.74% (approx. $64.3M) 🚀  (2/6)",Bullish
658590038,2026-07-08T19:21:05Z,ADBE,"$ADBE is up about 5% this week, but interesting part is where it’s showing up, and that&#39;s not just software ETFs.     Adobe is the largest holding in $VFLO, shows up in a buyback fund, lands in cloud, sits inside a Nasdaq ex-mega-cap basket, and still gets the obvious software-sector treatment.    Here&#39;s the breakdown. 🧵👇 (1/6)",Bullish
658579837,2026-07-08T18:01:33Z,ADBE,$ADBE would not be surprised in the least bit to see Berkshire announce ownership in this. It’s so cheap,
658576335,2026-07-08T17:34:21Z,ADBE,"$LULU burrys strongest HODL today, $SFM $ADBE $PYPL $ZTS",Bullish
658568472,2026-07-08T16:35:07Z,ADBE,$ADBE So boring today..,
658568450,2026-07-08T16:34:58Z,ADBE,$ADBE $MU Adobe is a buy now LOL,Bullish
658567946,2026-07-08T16:31:07Z,ADBE,$MU that guy owns $ADBE WHO CARES LOL,
658564504,2026-07-08T16:05:32Z,ADBE,$ADBE $240 next,Bullish
658563221,2026-07-08T15:56:59Z,ADBE,$ADBE buy the dip on this cash cow.,Bullish
