id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658617628,2026-07-09T01:42:40Z,AMD,$AMD $NVDA $SPY $QQQ  bullish for AMD,Bullish,1600145,511
658617468,2026-07-09T01:38:54Z,AMD,$AMD $NVDA $SPY $QQQ,Bullish,1600145,511
658616755,2026-07-09T01:22:46Z,AMD,"$AMD $NVDA   If u own either of these, consider reading the entire thread…  Meanwhile, yesterday I said don’t forget the China upside for NVDA.  They just approved a bunch of H200s “ for training.” Check this guy’s note out:  https://x.com/jukan05/status/2074871701616329193?s=10",,476347,940
658616552,2026-07-09T01:18:53Z,AMD,$NVDA I’m a bear but I def would be selling $AMD here before I sold $NVDA,Bearish,418100,206
658616353,2026-07-09T01:14:09Z,AMD,"$AMD ARK ETFs managed by Cathy Wed have released their daily trades for Wednesday, 08.07.2026,  On the buying side, ARK made a significant purchase of 181,847 shares of Space Exploration Technologies Corp (SPCX) through several ETFs, including ARKK, ARKQ, ARKW and ARKX, for a total of $27,180,671. This move signals continued interest in SpaceX, following the purchase of 44,196 shares a day earlier.  Another notable transaction was the sale of 29,974 shares of Roku (NASDAQ:ROKU) through the ARKW fund, worth $4,232,628. This sale continues a pattern of consistent sales of Roku shares in recent days.  In addition, ARK sold 8,010 shares of Advanced Micro Devices (NASDAQ:AMD) through the ARKK and ARKX funds, for a total of $4,134,041. This continued the trend from the previous day, when 8,667 shares were sold.",,1354162,251
658615986,2026-07-09T01:05:36Z,AMD,"$AMD well, I guess it is time to go back to the oyster farm! Lol.",,5766042,506
658615970,2026-07-09T01:05:06Z,AMD,$AMD El Bearos.,,3651049,91
658615892,2026-07-09T01:03:24Z,AMD,$CRWV $AMD 2.0 move coming.....JENSEN BUYING I AM BUYING $NVDA,Bullish,9881359,39
658615868,2026-07-09T01:02:57Z,AMD,$CRWV this is about to go $AMD 2.0.....LETS GOOOO BULLS!!! $NVDA $TSLA.....,Bullish,9881359,39
658615824,2026-07-09T01:02:08Z,AMD,$AMD https://x.com/leshka_eth/status/2074853064427933921?s=46&amp;t=Xq7UFW3u8B-l5R2nfYmJ2w,,1354162,251
658615818,2026-07-09T01:01:59Z,AMD,$AMD $NVDA $AMZN $google   $SPY,Bullish,1600145,511
658615545,2026-07-09T00:56:07Z,AMD,$AMD Hedge Funds Will keep AMD between $515.00 and $510.00 till close on Friday.. kill most of the call options these idiots that play call options deserve to lose a lot of money…. They never realize that hedge funds have billions of dollars to manipulate a stock like AMD to move it where they want to kill most call options.. They won’t actually buy the stock and hold… they like to give their money to hedge funds every week.. dummies…. Might as well go play the slots a Wynn Resort in Vegas… at least you get comps when you lose all your money…😂😂😂😂😂,,990534,44
658615477,2026-07-09T00:54:26Z,AMD,"$NVDA $SPY $MU $AMD Trump knows it well that there won&#39;t be any deal with terrorists.    He is slowly making Iran and Hormuz irrelevant while keeping the economic damage as minimum as possible.     After 9-12 months, nobody will give shit about Hormuz as alternative oil sources &amp; routes are being stood up",,10999736,12
658615338,2026-07-09T00:51:37Z,AMD,$AMD $ANET  ATH.  This thing ain&#39;t your old maid auntie.  Mark it.,,3651049,91
658614785,2026-07-09T00:39:41Z,AMD,$NVDA $SPY $MU $AMD     This guy knows well how to keep market up even with Iran conflict worsening!    SPX 8000 coming soon,Bullish,10999736,12
658613820,2026-07-09T00:21:09Z,AMD,$AMD $NVDA $AAPL $BE $SOXL ww3 resuming potus is in big trouble if semis can&#39;t save him this time!,Bearish,1049577,198
658613361,2026-07-09T00:13:00Z,AMD,$AMD   A little more love for my fellow bulls,Bullish,5784415,456
658613349,2026-07-09T00:12:51Z,AMD,"$AMD It pays to do fundamental research, shorty!    https://www.reuters.com/business/energy/us-department-energy-forms-1-billion-supercomputer-ai-partnership-with-amd-2025-10-27/",Bullish,9085698,307
658613129,2026-07-09T00:08:19Z,AMD,"$INTC I love it, I’m never listening to a bear talking shit and spreading FUD about a company who handles the majority of CPU chip’s when companies that handle RAM cards flunk the market for a day or two and they get the reaction towards that. $INTC and $AMD aren’t going anywhere you fucking dipshits.",Bullish,10178193,60
658613079,2026-07-09T00:07:29Z,AMD,"$AMD $ORCL   Oracle and AMD are expanding their partnership to build a massive AI supercluster for Oracle Cloud Infrastructure (OCI), deploying 50,000 of AMD&#39;s next-generation Instinct MI450 GPUs starting in Q3 2026. The deal is part of Oracle&#39;s strategy to diversify beyond Nvidia by offering cost-effective, high-performance infrastructure.",Bullish,9085698,307
658612869,2026-07-09T00:03:19Z,AMD,$PLTR time to run the jewels on these scrubs $NVDA $AMD,Bullish,1620888,153
658612830,2026-07-09T00:02:34Z,AMD,$AMD   Yeah baby!!!!,Bullish,5784415,456
658612570,2026-07-08T23:57:06Z,AMD,$AMD http://Investing.com - OpenAI on Wednesday released a set of national security principles outlining how the artificial intelligence company views partnerships with government agencies and military use of its technology. The principles come as OpenAI expands its collaboration with the U.S. government and allied partners on cybersecurity and biosecurity.,,1354162,251
