id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658615818,2026-07-09T01:01:59Z,AMZN,$AMD $NVDA $AMZN $google   $SPY,Bullish,1600145,511
658615208,2026-07-09T00:48:19Z,AMZN,"$AMZN is the only hyperscaler with positive ROI on its cloud/AI CAPEX  because rather than selling bare metal(IaaS) like Goog/Msft and neo-clouds, they sell &quot;Platform as a Service&quot;(PaaS) and &quot;Token as a Service&quot;(TaaS) getting a cut on each with Bedrock.     This is not only a big deal now for capex monetization but many A.I. futurists strongly seeing open models and trailing models winning the future over frontier models. This is exactly what AWS is built for so they will become the clear winner if this occurs. If not they are positioned well with balanced risk across Anthropic/OpenAI and every other model.    Token price declines make usage explode to its maxi potential and that always needs more compute, cloud, power, security of AWS. Ask your LLM of choice about &quot;Jevon&#39;s Paradox&quot;.",Bullish,1468720,234
658614520,2026-07-09T00:34:27Z,AMZN,$AMZN Blue Origin raise is in process now. Gemini and Grok confirmed Bezos previous massive trading plan(expired May 25th 2026) of 25M shares~  $5B should suffice and no new trading plan has been released for Bezos since then. He can&#39;t sell on w whim without a scheduled/official plan.     This outside raise is obviously to make B.O. self sufficient with no more heavy dependence on Bezos or Amazon to pay any further.= PHEW.,Bullish,1468720,234
658614499,2026-07-09T00:33:59Z,AMZN,$AMZN just wait til that 20% of Anthropic is worth a trillion in itself in a couple years with AWS business attached and not to mention the $50 BILLION invested in OpenAI for a dynamic strategic partnership. I just keep buying.  The Capex “worry” isn’t real when you’ve got insane backlog that you can service.,Bullish,3285021,75
658614376,2026-07-09T00:31:37Z,AMZN,$CCXI First humanoid robotics company that will go public. That means they’re confident enough to open up the books. $AMZN and $NVDA backed. $300M in booked orders. This is the same SPAC group that made $OKLO public.   https://www.stocktitan.net/sec-filings/CCXI/425-churchill-capital-corp-xi-business-combination-communication-2471d642e6df.html,Bullish,9902405,66
658613824,2026-07-09T00:21:12Z,AMZN,$ORCL $META $AMZN $GOOG https://www.youtube.com/watch?v=5Sd3O-b-oPw,Bearish,10750919,68
658613723,2026-07-09T00:19:28Z,AMZN,"$SPY $META $GOOG $AMZN $NVDA   The borrowing frenzy is taking place now because there’s a good possibility that 10+% will be the prime borrow rate in the coming years.   We’re in the early stages of the next commodities super cycle.   Yields go higher.  Oil goes higher and only the strongest companies will come out the other side.   We will see hundreds of bankruptcies in the next few years with larger companies.   Now speaking of small businesses and individuals, it will be hundreds of thousands.  Financial flush. A complete reset.   Higher commodity prices = Stagflation/Bankruptcy   Get ready for the homelessness crisis to build in 2027.   Unemployment is going to jump in 2027.  This AI buildout isn’t benefiting anyone.  Unless you’re directly tied to it, you’re broke.   People look at home equity and stock investments and feel wealthier, but that’s not money unless you sell.   When the market falls, then what.   Look at the national savings rate attached.   The cookie is crumbling.",,1815424,1792
658612388,2026-07-08T23:53:37Z,AMZN,"Amazon launched the Claude App Gateway for AWS, a self-managed control system that gives organizations centralized management of access, spending and policy enforcement for Claude Code and Claude Desktop applications. The gateway eliminates the need for individual cloud credentials and manual configuration, allowing enterprises to deploy it through Amazon Bedrock to keep data within AWS security boundaries or through Claude Platform on AWS for a native Claude experience.  Built as a stateless container that runs on Amazon ECS, EKS or EC2 with a PostgreSQL backend, the gateway integrates with OpenID Connect identity providers and issues short-lived authentication tokens through single sign-on. It also manages identity administration, inference request routing, telemetry, spending controls and policy enforcement. Organizations can set daily, weekly and monthly spending limits by user, group or organization, with requests automatically blocked when thresholds are exceeded.   $AMZN",,962572,108558
658611727,2026-07-08T23:40:43Z,AMZN,$AMZN I just do not know why this is down.  Switched prime day dates so all the money that they made the billions of dollars at this prime day will we be reporting on this earnings   The deal with anthropic that&#39;s going to be billions of dollar  Tranium chips they used to keep them in house they&#39;re selling them on the open market.   AWS is kicking ass.   Amazon freight has now opened up to third party shippers. I used to only move trailers from Amazon to Amazon . Now I&#39;m picking up freight from third party shippers and delivering it.,Bullish,3790429,22
658609911,2026-07-08T23:02:45Z,AMZN,$AMZN deport jeff bezos for being ugly af,Bearish,10368096,13
658605357,2026-07-08T21:45:10Z,AMZN,"Anthropic&#39;s top-line rev has scaled faster than almost any software company in history    Anthropic&#39;s ARR to surge past $60B by YE26 - a massive leap from the $9B run rate it recorded at YE25     Antropic had $4.8 B in revs in 1Q26 &amp; f/casted  to hit $10.9B by 2Q26    SemiAnalysis projects that Anthropic&#39;s quarterly operating profit (GAAP EBIT) will exceed $1B in 3Q26 w/ gross margins exceeding 80% on its API business, driven by a net rev retention rate of roughly 500% - this positions them for a potential $6T valuation by 2027    Note: Valuation based on latest funding raising: $965B     Note: Anthropic has aggressive spending commitments, including a $15 B/yr compute deal w/ SpaceX &amp; massive multi-billion dollar infrastructure contracts w/ $GOOGL &amp; $AMZN",Bullish,11403,44931
658604524,2026-07-08T21:32:42Z,AMZN,"$AMZN has already borrowed over $100B this year, with some maturities pushed out 40-50 years.    That’s the biggest debt load among the hyperscalers funding the AI buildout.    Clear sign the market is being asked to absorb a lot of long-dated leverage here.",,10386885,1
658604510,2026-07-08T21:32:29Z,AMZN,"The market often misprices great companies during periods of uncertainty.     Here are some long-term valuation scenarios traders are watching - based on future growth, earnings expansion, and continued execution:    $META  is a $2000 stock trading at $600  $TSLA  is a $100 stock trading at $390  $SNDK  is a $600 stock trading at $1700  $AMZN  is a $500 stock trading at $240  $NOW  is a $300 stock trading at $105    These are not guarantees or price predictions-just examples of how sentiment and growth expectations can create major valuation gaps over time.    Next week’s portfolio and watchlist are now live.  Check back for updated trading strategies and market analysis based on current market conditions, sector rotation, and risk-adjusted opportunities.",,10856765,778
658603612,2026-07-08T21:20:15Z,AMZN,"The AI infrastructure race is expanding beyond chips and data centers.    Tech giants are securing two critical resources: energy capacity and strategic market access.    $META 🇨🇦  Investing billions into a large-scale data center project in Alberta, focusing on reliable power to support future AI workloads.    $AMZN 🇵🇭  Expanding cloud infrastructure in Southeast Asia with a dedicated AWS region to capture long-term digital growth.    The message is clear: AI growth requires more than GPUs. It needs power, land, networks, and global infrastructure.    The buildout is still accelerating.    Keeping AI infrastructure names on my watchlist. Follow for more market themes and opportunities.",,10835530,925
658603153,2026-07-08T21:14:06Z,AMZN,"This could be one of the fastest ways to build toward a $1M portfolio by the end of 2026.    The biggest opportunities often come from recognizing strong trends early and positioning before the crowd.    $MRVL  → $225 Must buy  $AMD  → $510 Must buy  $TSLA  → $388 Must buy  $AMZN  → $240 Must buy  $MSFT → $380MUST buy    This portfolio will protect you this year     If you want to see the high-conviction stocks I’m watching, my full portfolio, and every trade I make…    Head to my profile.",,7021054,2725
658602868,2026-07-08T21:10:12Z,AMZN,$AMZN $META who said that it’s on top of the allocated spend?,,4413042,11
658602255,2026-07-08T21:01:28Z,AMZN,Mag 7 capex keeps running hot.    $AMZN dropping $5B in the Philippines for AWS    $META putting $10B into Canada for an AI data center    That’s on top of the hundreds of billions already committed.    The spend is still accelerating. 😱,,6987667,5
658601454,2026-07-08T20:51:11Z,AMZN,"Blue Origin is reportedly raising about $10 billion in its first external funding round, valuing Jeff Bezos&#39; space company at $130 billion, according to CNBC. Bezos is expected to contribute $2 billion, while hedge fund Coatue Management will invest around $4 billion, with the remaining $4 billion drawing strong interest from other large institutional investors.  The fundraising follows SpaceX&#39;s record IPO last month, which raised nearly $86 billion and valued Elon Musk&#39;s company at roughly $2 trillion, highlighting continued investor appetite for the commercial space sector.  Founded by Bezos in 2000, Blue Origin has historically been funded through sales of his Amazon shares and competes with SpaceX in heavy-lift launch vehicles, lunar landers, and satellite internet. The capital raise comes despite a setback in May, when a New Glenn rocket exploded during a static fire test in Florida.   $AMZN $SPCX",,962572,108558
658600451,2026-07-08T20:39:43Z,AMZN,"$AMZN AWS just launched the Claude Application Gateway.    Another move deeper into AI infrastructure and model access. AWS keeps widening the stack, and this adds more weight to the long-term cloud + AI monetization story.",,6987680,9
658600331,2026-07-08T20:38:27Z,AMZN,"@howardlindzon The industry will transition from capital-intensive data center construction (1st phase) to the active monetization of their cloud backlogs (2nd phase). Cloud computing growth continues to accelerate, heavily fueled by the rise of enterprise agentic AI workloads.     IMHO the world still has massive digital runways left to capture. While enterprise AI adoption is growing, trillions of  everyday operational workflows have yet to deploy autonomous AI agents    Global data created has grown  &gt; +3x over last 5yrs to 230+ zettabytes. Meanwhile, AI tokens have exploded from near-zero to tens of quadrillions per month, with no signs of slowing down    Companies are further optimizing margins thru aggressive cost rationalization. This is driven by internalizing custom hardware &amp; a strategic pivot away from expensive 3rd-party LLMs    The market has deservingly has discounted growth concerns for $MSFT - currently trades below the market multiple - Intelligent Cloud segment will need to carry the other 2 segments which will only see growth from increase in prices rather than volume. Should Copilot adoption increase than that is simply icing on the cake    $GOOGL &amp; $AMZN deserve a premiuim b/c their highly diversified core ecosystems support growth outside of pure cloud compute - high margin Ad market continues to grow which should provide more earnings stability     Eventually, (5+ years) we will see a price war develop as hyperscalers look to intentionally squeeze out neocloud capacity - the 3rd phase",,11403,44931
658600279,2026-07-08T20:37:48Z,AMZN,"FOMC Minutes are out, and the message is clear: the Fed is still balancing inflation risks with the need to avoid keeping policy restrictive for too long.    For swing traders, the takeaway is simple: volatility is likely to remain around every major economic data release.    Key areas to watch:    AI &amp; data center leaders staying resilient despite rate uncertainty:  $NVDA  $AMZN  $MU    Rate-sensitive sectors that could react sharply to macro changes:  $XLF  $KRE  XLRE    Also watching yields and the dollar for risk appetite signals:  DXY  TNX    The market is no longer just trading headlines. Rotation, liquidity, and macro expectations are driving the next moves.    The best setups usually come from understanding the environment before reacting to the candles.    Follow for more macro breakdowns and swing trading ideas.",,11004023,138
658598975,2026-07-08T20:24:24Z,AMZN,"Custom chips from hyperscalers have been around for years — $GOOGL TPU, $AMZN Trainium, $META MTIA.    Yet $NVDA GPU revenue has still exploded ~700x since 2015.    The bigger tell: $NVDA sales to hyperscalers grew 115% YoY, nearly 2x overall cloud capex growth. That’s not crowding out demand — that’s demand staying hot.",,6986707,9
658597917,2026-07-08T20:15:21Z,AMZN,$AMC bring back studio movies.... With MGM studios and $AMZN buying y out Amc,,4161999,115
658597837,2026-07-08T20:14:39Z,AMZN,$AMZN AWS just announced the Claude Apps Gateway.    This keeps AWS deeper in the AI stack and makes Claude easier to plug into enterprise workflows. Still a solid sign that Amazon wants to stay a key distribution layer for AI infrastructure and app adoption.    Bullish for the long game if this drives more cloud usage and stickier AI demand.,,6986801,10
