id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658707276,2026-07-09T21:22:28Z,ARM,$ARM yeah… fucking super duper bullish,Bullish,5049735,127
658702658,2026-07-09T20:28:31Z,ARM,$ARM next stop 480 😎,,11018937,0
658700879,2026-07-09T20:12:05Z,ARM,$ARM apparently this was the one to own today! not $KLAC. I must have missed the memo,,275879,307
658694529,2026-07-09T19:28:23Z,ARM,$MU $SNDK  $ARM $MRVL Why Micron’s Stock Dip Is a Buying Opportunity https://www.barrons.com/articles/micron-stock-price-analyst-buy-selloff-833a9218,,127852,181
658679900,2026-07-09T17:36:34Z,ARM,$ARM 400 gap is starring at me,,912631,544
658676645,2026-07-09T17:11:04Z,ARM,"Best Robot Stocks    1. Robot Brains / AI Accounts    $NVDA    $AMD    $ARM    $AMBA     The &quot;Robot Brains&quot; basket targets the most profitable hardware layers of the Embodied AI revolution!    These tickers form a perfect strategic monopoly. NVDA dominates with its end-to-end Physical AI training and simulation platforms. AMD provides the high-performance edge compute, while ARM’s power-efficiency cements its rule over real-time robotic control fabrics. Meanwhile, edge-vision pioneer AMBA is capturing a massive margin of safety as its neural processing SoCs scale across automated platforms.    Is the physical robotics expansion the definitive multi-bagger play for the late 2020s? Which &quot;Robot Brain&quot; balances risk and asymmetric reward best: NVDA, AMD, ARM, or AMBA? Drop your high-conviction plays below!",,10859640,1618
658675306,2026-07-09T17:00:31Z,ARM,"$SNDK You can&#39;t have a nearly 28% jump in one and half day, and call this normal market. I love it. This is how you make money. $MU Is just up 12% and $ARM  SanDisk has lower float and killing it. Darling of HFTs.",,10956956,58
658668667,2026-07-09T16:12:29Z,ARM,$ARM 209% already; congrats 🌿🌷🔆  Checkout $RXRX and $PGY with similar or greater potential,,1798751,10364
658667276,2026-07-09T16:03:11Z,ARM,"$ARM popping 11% today but only up 3% over five days  Feels like a breakout rather than a trend  Traders are diving into near-term calls with IV over 100%  Big moves with 1,500 Jul 17 $330 calls bought, marking $330 as a key level  Watch if momentum holds or fades  Also seeing $400 call sweeps for next week  These are pricey with high decay risk, so be careful if you&#39;re chasing  Better to stick with defined risk plays",,4012727,2214
658666106,2026-07-09T15:55:14Z,ARM,$ARM $ALAB $GLW $MU $MRVL bullish,,5869427,631
658663677,2026-07-09T15:38:24Z,ARM,🚨AI Testing Names leading today  $AEHR $TRT  CPUs right behind $ARM  Check our rotation tracker free at tenetresearch.ai You can click on each sector and see research on individual names,,1332064,9402
658660031,2026-07-09T15:11:09Z,ARM,$ARM  Ripster MTF Magnet Setup complete Hit most targets,,1332064,9402
658659377,2026-07-09T15:06:52Z,ARM,"Semiconductor stocks are getting bought aggressively today:    • $AEHR +14%    • $LITE +13%    • $KLAC +12%    • $ARM +11%    • $AMAT +10%    The bulls are back with a vengeance! After a temporary macro consolidation, institutional capital is aggressively tearing back into the semiconductor and hardware infrastructure space.    We are seeing a massive double-digit short-squeeze across AEHR, LITE, KLAC, ARM, and AMAT. This violent V-rebound proves that the secular demand for physical AI infrastructure remains completely untamed. Tangible catalysts—including massive customer order backlogs for equipment testing play AEHR and expanding optical networking deployments lifting LITE—are completely rewriting the &quot;tech peak&quot; narrative. The picks-and-shovels of the data center expansion remain the ultimate alpha generators.    Is this aggressive buying spree the definitive launchpad for the next structural leg up, or just an aggressive near-term short squeeze?",,10859640,1618
