id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658700049,2026-07-09T20:05:18Z,CSCO,$CSCO 122/123 tomorrow easy with this Momo and rebound back to push through 130 ….￼,Bullish,1735470,4
658698173,2026-07-09T19:54:11Z,CSCO,"$SMCI what a great $CSCO buy out Rumor , 10% of $CSCO  market cap ,$470B,/800M SMCI shares = $58.75=SMCI=1/2 share of $CSCO shares",,1476108,3
658695639,2026-07-09T19:36:36Z,CSCO,"$SMCI  what a great $CSCO buy out Rumor , 10% of $CSCO market cap ,$470B,B/800M SMCI shares = $58.75=SMCI=1/2 share of $CSCO shares",,1476108,3
658695358,2026-07-09T19:34:41Z,CSCO,"$SMCI  what a great $CSCO buy out Rumor , 10% of $CSCO market cap =$4.7B/800M SMCI shares = $58.75=SMCI=1/2 share of $CSCO shares for each share of $SMCI",,1476108,3
658693425,2026-07-09T19:20:02Z,CSCO,$SMCI $CSCO Rumoured to sniffing around. Their market cap 470 billion smci 18 billion.  Small change,Bullish,6765774,32
658691656,2026-07-09T19:06:24Z,CSCO,$CSCO let’s see what happens around 120 …￼,,1735470,4
658690018,2026-07-09T18:54:33Z,CSCO,$CSCO might need some time with 122 level (behavior there is a good indicator) but it&#39;s set on new highs,Bullish,912631,544
658689692,2026-07-09T18:51:56Z,CSCO,Top Pick of the Week: $CSCO has reached the 4 % conservative Target. Dividend was paid on Monday. https://abovethegreenline.com/wp-content/,,2850978,534
658685777,2026-07-09T18:20:38Z,CSCO,$CSCO 120 tomorrow,Bullish,1168944,185
658652665,2026-07-09T14:23:49Z,CSCO,$CSCO good day to unload some and then buy back on the next dump… ￼,Bullish,1735470,4
658649693,2026-07-09T14:07:50Z,CSCO,@Jblack500 @No_Face_character @WAJeff @BustaCapital @cynicaloptimist @IsabellaDC  $ANET   - da &#39;daddy&#39; of  $CSCO,,1398988,1618
658646728,2026-07-09T13:53:06Z,CSCO,$CSCO the best part is no one‘s talking about the stock… What a great opportunity on that pull back 🤩🤩🤩￼,,1735470,4
658638343,2026-07-09T12:55:54Z,CSCO,$CSCO first 50 day test after the 25 year breakout,,18652,82647
658623966,2026-07-09T05:50:51Z,CSCO,"$CSCO this was brought on us by no one but demented Trump and demented deplorable voters, per what shit and war criminal Hillary Clinton stated in 2016, who voted for Trump. Based on most analysts around the world and on Fox News Iran delivered a stunning defeat to Trump and to Apartheid Israel. Israel is forcing this cancellation of the so called MOU by violating item #1 in it which requires cecesation of war in all fronts including Lebanon. Apartheid Israel kept attacking Lebanon ever since the MOU was agreed upon.  Next step Iran will close straight of  Hormuz and the Red Sea which will put Trump back on his knees begging Iran to open both straight . Time will tell",,8802564,11
658617269,2026-07-09T01:34:03Z,CSCO,$CSCO OK what’s up for tomorrow? ￼,,1735470,4
