id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658707606,2026-07-09T21:27:08Z,IBM,$IBM 💾 $305 10 JUL 26 (W) CALL 100 $2.20 ➡️ $10.00  354% GAINER!,,11011248,51
658705726,2026-07-09T21:02:28Z,IBM,$IBM Technical reset day!  We go up tomorrow and weeks into and beyond ER.,Bullish,367082,29522
658704700,2026-07-09T20:49:14Z,IBM,@SpaceFarce My grandpa bought $MU in 1978 and left me 100 shares. He left me 135 shares of $IBM too! I’m holding for Quantum!,Bullish,7255708,15
658697733,2026-07-09T19:51:29Z,IBM,$IBM $MSFT $GOOG $AMZN,Bullish,9046878,279
658694510,2026-07-09T19:28:17Z,IBM,$IBM Options Heatmap - Crucial Points    Last: $294.61    Critical Resistance Levels:    $297.80 ($391.4M) | $302.05 ($853.4M) | $306.70 ($419.4M)    Pivotal Support Levels:    $291.35 ($201.5M) | $284.83 ($184.0M) | $277.49 ($290.6M)    We continuously monitor these levels throughout each trading session - follow for ongoing updates  #IBM #Options #Trading #GEX #GammaExposure,,7769905,580
658689267,2026-07-09T18:48:37Z,IBM,"$SBUX   $IBM   $MSFT  $NOW recovered good chunk, never knew starbucks was a software company 🤭😅",,494832,10699
658687928,2026-07-09T18:38:00Z,IBM,$IBM $285 tomorrow. Trash. 💩,Bearish,1200163,1091
658686839,2026-07-09T18:29:04Z,IBM,$IBM my grandpa just died and left me a bunch of this stock. His dying wish is that I would hold for quantum. But sadly I lied to him saying I would— I have cashed out,Bearish,10046099,31
658686321,2026-07-09T18:24:50Z,IBM,$BTQ $IBM Quantum technologies!  Any other tickers? Need to rotate!,Bullish,11020119,2
658683637,2026-07-09T18:04:45Z,IBM,$IBM why is this down so much though,,5815250,92
658683226,2026-07-09T18:02:01Z,IBM,$IBM $305  expiring tomorrow is looking pretty sexy to me. 👀📈,,8579145,4
658682198,2026-07-09T17:54:33Z,IBM,$IBM I know this is rotation bringing down the stock today.  I would be upset if I didn&#39;t know in the long run this stock will most likely be $330+ within the next 2 to 12 weeks.,Bullish,406439,4
658678240,2026-07-09T17:23:19Z,IBM,$IBM IBM gets NBA endorsement https://finance.yahoo.com/m/89b346b2-e88c-3374-baee-6a067def32d9/ibm-and-quantum-computing-get.html,Bullish,266909,995
658677774,2026-07-09T17:19:37Z,IBM,$IBM Huge contract signed by IBM in multimillion dollars with manpower group.   https://finance.yahoo.com/technology/ai/articles/manpowergroup-man-launches-ibm-built-121445825.html,Bullish,266909,995
658677388,2026-07-09T17:16:34Z,IBM,$IBM $300 - $310  plus in charts,Bullish,266909,995
658677296,2026-07-09T17:15:46Z,IBM,$IBM ??,,2971369,14530
658677267,2026-07-09T17:15:34Z,IBM,"SBUX Stock Set For Best Day In Two Months — Starbucks Steps Up AI Push To Cut Reliance On MSFT, IBM  $SBUX $MSFT $IBM  https://stocktwits.com/news/equity/markets/sbux-stock-set-for-best-day-in-two-months-steps-up-ai-push/cZmY55FR7nN",,9403392,109401
