id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658708221,2026-07-09T21:35:50Z,INTC,"$INTC tape has been messed with all day. Bulls still looking for that AH / overnight push, same setup as yesterday. If they’re going to squeeze it, this is where it needs to happen. No more dead chop.",,6986924,15
658708095,2026-07-09T21:34:04Z,INTC,"$INTC Bulls still trying to keep pressure on after that overnight lift. Tape needs a real catalyst now, not just noise. If news hits, momentum can stay alive. If not, this turns into another chase-and-fade setup fast.",,6986815,4
658707458,2026-07-09T21:25:10Z,INTC,"$INTC this could happen if they miss numbers  very easily, I believe many tutes sold this quarter who loaded in 40-60s I would not touch until after earnings",,9043640,267
658707100,2026-07-09T21:20:17Z,INTC,"$INTC Enough of Fkery all day long, time to spike this up. It is imminent AH or overnight like yesterday! Lets Go!",Bullish,8134226,208
658706650,2026-07-09T21:14:20Z,INTC,$INTC Best point made today.,,9110352,16
658705321,2026-07-09T20:57:08Z,INTC,$INTC who eats rice and noodles?,,10825994,3
658705271,2026-07-09T20:56:25Z,INTC,$INTC Is there any word on between the Apple/Broadcom partnership extension who is going to be their supplier? I&#39;m seeing people on X even asking if there will ever be an announcement.,,423122,101
658703940,2026-07-09T20:40:10Z,INTC,$INTC Huge Gap Below 67$,Bearish,370903,70
658703394,2026-07-09T20:35:06Z,INTC,$INTC Be patient.. it will happen… now go cook me some rice and noodles…,Bearish,10586746,128
658701138,2026-07-09T20:14:18Z,INTC,$INTC drop some news and burn these shorts.  Bury Burry.,,3373781,35
658700704,2026-07-09T20:10:31Z,INTC,$INTC Keep the pressure and keep the fire going. Lets raise like overnight yesterday...Can they drop some news here....,Bullish,8134226,208
658700396,2026-07-09T20:07:59Z,INTC,$INTC  At least close at $116,,3760224,50
658700088,2026-07-09T20:05:34Z,INTC,$INTC Looking for $120+,,3760224,50
658698799,2026-07-09T19:57:50Z,INTC,$INTC oh now we get movement...,,6615315,14
658698790,2026-07-09T19:57:49Z,INTC,$INTC $113 baby. Give it to me,Bullish,4047863,40
658698305,2026-07-09T19:55:02Z,INTC,$INTC don&#39;t tell me we are going to close red...,Bullish,9665129,98
658698240,2026-07-09T19:54:36Z,INTC,$INTC of course lets f it up right before close !  Typical bull shit,Bullish,4047863,40
658698225,2026-07-09T19:54:31Z,INTC,$INTC nobody gives a flying f about your positions,,1449493,78
658698136,2026-07-09T19:54:02Z,INTC,$INTC more downside to come. Rejected at the 50,,1449493,78
658698042,2026-07-09T19:53:22Z,INTC,$INTC I think this might stay stagnant AH not seeing the buying pressure! I hope i am wrong! Tomorrow might be our day!,Bullish,4047863,40
658698031,2026-07-09T19:53:18Z,INTC,$INTC GO UPPPPPP!!!!,,9665129,98
658697891,2026-07-09T19:52:24Z,INTC,$INTC Thanks for making it happen. An easy 40% profits for less than an hour of work. Blessings if you made easy money. 🙌🙏👍,,683856,1100
658697044,2026-07-09T19:46:57Z,INTC,$INTC this is done guys I’m pretty sure this is it until earnings then they could fill the gap up or down,,9043640,267
658696940,2026-07-09T19:46:12Z,INTC,$INTC crooks are doing everything they can to keep this down.   Complete thuggery.  Rigged market.  Pathetic.,,3373781,35
658696787,2026-07-09T19:45:04Z,INTC,$INTC boooooring,,2957533,2
658696675,2026-07-09T19:44:10Z,INTC,$INTC what will happen AH.  Tock tock. Time will tell.,,3373781,35
658696665,2026-07-09T19:44:06Z,INTC,$INTC Well this is awkward. Not above 113. I guess there&#39;s always tomorrow.,,423122,101
658695760,2026-07-09T19:37:40Z,INTC,$INTC We have in our hands the most coveted stock in the world... every day WS uses every trick to try and snatch it from the retail market... they only want it for themselves because they know that in 5 years it will be worth $1000.,Bullish,9665129,98
658695698,2026-07-09T19:37:09Z,INTC,$INTC Scheiße!,,7722712,40
658695152,2026-07-09T19:33:03Z,INTC,$INTC $AMD  YOLO 1DTE PUT for tomorrow. Wish me luck 🙏 😅,,6819359,183
658694961,2026-07-09T19:31:29Z,INTC,$INTC POS crap just keeps sliding down like excrement on a wall,,2124762,67
658694960,2026-07-09T19:31:28Z,INTC,$INTC back to 104 AH,Bearish,7231157,442
