id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658617058,2026-07-09T01:29:13Z,META,$META,Bullish,9876556,46
658616958,2026-07-09T01:27:19Z,META,$META puts printing,,5345386,66
658616936,2026-07-09T01:27:00Z,META,$MSFT $META if you are not shorting the pop you are leaving money on the table. Until these two turds prove their spendings are fruitful.. keep it shorting.. not going any higher form here.,Bearish,241273,2311
658616740,2026-07-09T01:22:29Z,META,@self_service @ITradeOnceADay $META  always says this kind of stuff. Used to trade meta exclusively. Lots of tricks to keep price up. In the end it’s like Apple subbing out the glass to $GLW the big boys stay in their lane and keep doing what they do best. Meta doesn’t want to own data centers. They want advertising cash.,,849962,42
658616286,2026-07-09T01:12:38Z,META,$META is it cling to be short the news event tomorrow!? Canada data center. Mostly every stock has sell the news now.,Bearish,241273,2311
658616144,2026-07-09T01:09:15Z,META,$VMHG Victory Marine Holdings’ Dunn &amp; Groux Beverage Holdings Completes Commercial Leadership Team to Accelerate National Retail Expansion https://www.globenewswire.com/news-release/2026/07/08/3324088/0/en/victory-marine-holdings-dunn-groux-beverage-holdings-completes-commercial-leadership-team-to-accelerate-national-retail-expansion.html     $POET $META $POET,,11051826,0
658615719,2026-07-09T00:59:20Z,META,$SPY remember to have a blast...this is america $META $RDDT,,498578,2417
658615541,2026-07-09T00:56:00Z,META,$SPY G and V $META $RDDT,,498578,2417
658615442,2026-07-09T00:53:41Z,META,$SPY the remote island retreat team building exercise $MSFT $RDDT $META $BTC.X,,498578,2417
658615145,2026-07-09T00:46:39Z,META,"8-Day Trading Recap 📈  Over the past 8 trading days:  • 40 trades • 38 winners • 2 losers • 95% win rate • Average return: +72.4% per trade  Top Performers 🏆 $META 620C: +295.8% 🏆 $META 620C: +208.3% 🏆 $TSLA 420C: +185.7% 🏆 $SPY 7520C: +170.8% 🏆 $SPX 7550C: +152.6%  The focus remained on high-probability momentum setups across SPX, SPY, QQQ, TSLA, META, MU, and AMZN. Risk management stayed consistent throughout the stretch, with losses limited to two trades while allowing winning positions to develop.  Grateful for the discipline, execution, and consistency. The goal remains the same: protect capital, stay patient, and execute the plan one trade at a time",,11010117,55
658615059,2026-07-09T00:44:19Z,META,$SPY this is america $DIS $META $DIS,,498578,2417
658614942,2026-07-09T00:42:17Z,META,$META  let me tell you something the black fatigue in this country is astounding,,3367713,415
658614824,2026-07-09T00:40:26Z,META,$SPY this is america $META $RDDT,,498578,2417
658614794,2026-07-09T00:39:49Z,META,"8-Day Trading Recap 📈  Over the past 8 trading days:  • 40 trades • 38 winners • 2 losers • 95% win rate • Average return: +72.4% per trade  Top Performers 🏆 $META 620C: +295.8% 🏆 $META 620C: +208.3% 🏆 $TSLA 420C: +185.7% 🏆 $SPY 7520C: +170.8% 🏆 $SPX 7550C: +152.6%  The focus remained on high-probability momentum setups across SPX, SPY, QQQ, TSLA, META, MU, and AMZN. Risk management stayed consistent throughout the stretch, with losses limited to two trades while allowing winning positions to develop.  Grateful for the discipline, execution, and consistency. The goal remains the same: protect capital, stay patient, and execute the plan one trade at a time.",,11010117,55
658614720,2026-07-09T00:38:17Z,META,"8-Day Trading Recap 📈  Over the past 8 trading days:  • 40 trades • 38 winners • 2 losers • 95% win rate • Average return: +72.4% per trade  Top Performers 🏆 $META 620C: +295.8% 🏆 $META 620C: +208.3% 🏆 $TSLA 420C: +185.7% 🏆 $SPY 7520C: +170.8% 🏆 $SPX 7550C: +152.6%  The focus remained on high-probability momentum setups across SPX, SPY, QQQ, TSLA, META, MU, and AMZN. Risk management stayed consistent throughout the stretch, with losses limited to two trades while allowing winning positions to develop.  Grateful for the discipline, execution, and consistency. The goal remains the same: protect capital, stay patient, and execute the plan one trade at a time.  Interested in trading with us? DM the admin: @SPY_PRIM.",,11010117,55
658614621,2026-07-09T00:36:23Z,META,$KEEL $META watch $PBA too! Data Centers in Canada 🇨🇦 is a good idea imo!,,262496,463
658614553,2026-07-09T00:35:02Z,META,$KEEL something is brewing.. only a few have made the connection between $META building AI center in Canada and Keel having a nice market base there. Probably nothing…👀,Bullish,11000386,8
658614495,2026-07-09T00:33:54Z,META,"$SPY let&#39;s make this quick, give me everything you got. I got a gun. $DIS $META $BTC.X",,498578,2417
658614408,2026-07-09T00:32:24Z,META,"📊 Group 3 Daily Technical Video is now live at http://elliottwave-forecast.com    We explained that there won’t be any major move until alignment comes in across $MSFT, $META, #Gold, and #silver. Until then, expect continued chop and lack of clear direction.    #ElliottWave",,128933,48632
658614189,2026-07-09T00:28:15Z,META,$SPY when you get highroad by a bird... $META $BTC.X,,498578,2417
658613824,2026-07-09T00:21:12Z,META,$ORCL $META $AMZN $GOOG https://www.youtube.com/watch?v=5Sd3O-b-oPw,Bearish,10750919,68
658613723,2026-07-09T00:19:28Z,META,"$SPY $META $GOOG $AMZN $NVDA   The borrowing frenzy is taking place now because there’s a good possibility that 10+% will be the prime borrow rate in the coming years.   We’re in the early stages of the next commodities super cycle.   Yields go higher.  Oil goes higher and only the strongest companies will come out the other side.   We will see hundreds of bankruptcies in the next few years with larger companies.   Now speaking of small businesses and individuals, it will be hundreds of thousands.  Financial flush. A complete reset.   Higher commodity prices = Stagflation/Bankruptcy   Get ready for the homelessness crisis to build in 2027.   Unemployment is going to jump in 2027.  This AI buildout isn’t benefiting anyone.  Unless you’re directly tied to it, you’re broke.   People look at home equity and stock investments and feel wealthier, but that’s not money unless you sell.   When the market falls, then what.   Look at the national savings rate attached.   The cookie is crumbling.",,1815424,1792
658613546,2026-07-09T00:16:27Z,META,"$APLD &quot;Excess capacity&quot; was the headline a few days ago.  Panic and fear absolutely flooded DC stocks.  Oh, whats that? It was a FUD headline for the algorithms to pick up on and create better buying opportunities?  Sure worked out.  $META doesnt go drop down new DCs 4 days after &quot;We&#39;ll sell our excess capacity&quot;.  They could be creating more competition for others like $CRWV or $NBIS, sure. But this is bullish for DCs.  Long Data Center Infrastructure",Bullish,9373367,179
658612958,2026-07-09T00:05:00Z,META,"$SPY remember some people enjoy certain things, like the naked guy on 34 street... subway. $RDDT $META",,498578,2417
658612942,2026-07-09T00:04:45Z,META,$META $400 after ER,Bearish,10351837,112
658612803,2026-07-09T00:01:56Z,META,$SPY $RDDT remember a blind asian can beat you in anything...$META $BTC.X,,498578,2417
658612624,2026-07-08T23:58:04Z,META,HOUR stock can 10X from here - most undervalued penny stock in the market     - 1.8M float with zero dilution    - did 143M in revenue last year with around $2M in net profit (doing the best numbers since they went public )    - insiders have never sold (even when this hit 7+) and the top two holders both own around 17M shares and are incentivized to boost numbers again this year     $AAPL $META $DELL adding for long term,,10997001,10
