id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658617566,2026-07-09T01:41:04Z,MSFT,$MSFT Will run up to earnings on expectation of beat causing current valuation to adjust tremendously.,Bullish,8892451,12
658617005,2026-07-09T01:28:15Z,MSFT,$MSFT,,4440658,931
658616936,2026-07-09T01:27:00Z,MSFT,$MSFT $META if you are not shorting the pop you are leaving money on the table. Until these two turds prove their spendings are fruitful.. keep it shorting.. not going any higher form here.,Bearish,241273,2311
658616935,2026-07-09T01:26:58Z,MSFT,$MSFT  Strong buy,Bullish,528027,39
658616138,2026-07-09T01:09:08Z,MSFT,$MSFT I finished analyzing the metrics and by all means MSFT is a BUY!  (more pics in comments),,5665912,148
658615968,2026-07-09T01:04:59Z,MSFT,"Old Calypso and Hardened Criminals July 8, 2026|$META, $MSFT, $QQQ, $SPY, $TSLA  https://indexoptiontrade.com/f/old-calypso-and-hardened-criminals",,30314,223
658615565,2026-07-09T00:56:27Z,MSFT,$MSFT $ORCL  100 shares in each,Bullish,3129852,193
658615442,2026-07-09T00:53:41Z,MSFT,$SPY the remote island retreat team building exercise $MSFT $RDDT $META $BTC.X,,498578,2417
658615052,2026-07-09T00:44:13Z,MSFT,"$ORCL Remember, $MSFT just shitcanned Open AI. Open AI is getting crushed by Gemini and Anthropic, they will never be able to pay their bills to landlord Oracle. They are a bagholder which means your $ORCL shareholders are bigger bag holders. Breaking under 100 end of summer, just watch.",Bearish,10883894,27
658614454,2026-07-09T00:33:15Z,MSFT,"$MSFT $400 tomorrow. Low volume, but algo will do it.",Bullish,5764352,43
658614408,2026-07-09T00:32:24Z,MSFT,"📊 Group 3 Daily Technical Video is now live at http://elliottwave-forecast.com    We explained that there won’t be any major move until alignment comes in across $MSFT, $META, #Gold, and #silver. Until then, expect continued chop and lack of clear direction.    #ElliottWave",,128933,48632
658614368,2026-07-09T00:31:26Z,MSFT,$MSFT load&#39;er up lads!,Bullish,5665912,148
658614265,2026-07-09T00:29:27Z,MSFT,"OpenAI said it no longer recommends SWE-Bench Pro as a reliable benchmark for evaluating AI coding performance after an internal audit found that about 30% of its tasks contain design flaws that skew results. The company withdrew its previous recommendation, saying the benchmark has become increasingly unreliable as leading AI models rapidly improve.  The audit examined 731 public tasks using AI research agents and independent reviews by five experienced software engineers. OpenAI found defects in 27%–34% of the dataset, including overly strict tests, vague or incomplete task descriptions, insufficient test coverage, and misleading prompts that can reject correct solutions or allow incomplete fixes to pass. The company also noted that many tasks are automatically generated from real software repositories, where issue descriptions, code changes, and unit tests are often misaligned.   $MSFT  $OPEAZZX.P",,962572,108558
