id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658708344,2026-07-09T21:37:34Z,NFLX,$NFLX The crook and corrupt WSJ seems to be resurfacing old news from spring just one week before earnings. The timing appears questionable and in my opinion could be seen as creating negative sentiment ahead of the earnings report. Let&#39;s see how the market reacts over the next week and mgmt should ruled it out and sue WSJ tomorrow,Bullish,5134643,81
658708339,2026-07-09T21:37:29Z,NFLX,$NFLX it’s about time.   Paytience.,,11027483,7
658708336,2026-07-09T21:37:27Z,NFLX,"$NFLX    Netflix may need a little more patience.    The current levels are starting to look interesting, but the chart still does not show a confirmed bottom.    Right now, we are missing some key signals:    • No major capitulation volume  • No strong buyer reaction yet  • No clear valuation reset    The setup could become more attractive after another leg lower or a stronger base formation.    Good entries often come when the market stops looking comfortable.    For now, $NFLX remains a name to watch, but confirmation matters.",,10835530,945
658708324,2026-07-09T21:37:17Z,NFLX,"$NFLX Bearish articles are not stopping.  Why would they, easiest short in the market.  Bears don’t want it to change.  Any news weather good or bad see’s red almost everyday.    They want it to continue.",,2090171,6
658708295,2026-07-09T21:36:48Z,NFLX,$NFLX  don&#39;t know if it&#39;s a bad or a good news :/,,10720581,15
658708277,2026-07-09T21:36:35Z,NFLX,"$NFLX looking at Live TV now.    What’s old is new again. Streaming spent years killing the bundle, now the bundle keeps finding its way back in.    Not a thesis change yet. But if they can add live without wrecking margins, the market will care.",,6986832,6
658708276,2026-07-09T21:36:34Z,NFLX,"$NFLX live streaming is good news for Netflix , although it could be fake news",Bullish,6183405,1
658708216,2026-07-09T21:35:41Z,NFLX,$NFLX  love this post,,10090817,3
658708205,2026-07-09T21:35:32Z,NFLX,$NFLX they should become a hyperscaler next.,,1719721,330
658708194,2026-07-09T21:35:25Z,NFLX,$NFLX Need to buy Paramount! Safely Invested in Stocks,,1058506,52
658708173,2026-07-09T21:35:07Z,NFLX,$NFLX poor baby cant catch a break 🤣,,5989180,17
658708122,2026-07-09T21:34:28Z,NFLX,$NFLX bro world cup is going on WTF you expect,,10556995,51
658708115,2026-07-09T21:34:22Z,NFLX,$NFLX Opportunity to short more tomorrow on this “no news” piece from WSJ.  (I’ve been short for awhile and have zero plans to cover.  ANGX is the next NFLX.  That stock headed to $10 (a triple from here).  ANGX = Trump stock; NFLX = Obama/Biden/Kamala stock.  NFLX = LGBTQ/DEI/climate change/Defund the police stock.,Bearish,1044892,204
658707959,2026-07-09T21:32:22Z,NFLX,"Despite rising profits and hit shows like Bridgerton, $NFLX faces declining viewer engagement. The streaming giant is fighting back with live channels, ad-tier growth, and potential sports rights. https://notreload.xyz/netflix-engagement-crisis-profits-up-watch-time-down/",,4849364,292
658707937,2026-07-09T21:32:07Z,NFLX,"$NFLX lol, that’s life. I added more",,3233598,48
658707935,2026-07-09T21:32:06Z,NFLX,$NFLX Netflix going into live tv bad move,,6939673,158
658707932,2026-07-09T21:32:02Z,NFLX,$NFLX 500 more at $73.99.,Bullish,1171990,179
658707902,2026-07-09T21:31:31Z,NFLX,$NFLX   *sighs* Unzips wallet,,9069027,24
658707872,2026-07-09T21:31:00Z,NFLX,$OKLO they&#39;ll sell Humpty Dumpty to 45-46s again on Nuclear backlash and AI Data Center Risk to buy $NFLX near 52-week low of $70.86.  $SMR $WULF lower,,145178,1082
658707841,2026-07-09T21:30:33Z,NFLX,$NFLX worry is netflix will bid on NBCUniversal.,,3124404,34
658707829,2026-07-09T21:30:20Z,NFLX,$NFLX it’s good news - fools will regret if not buy here 85 tomorrow!!!,Bullish,9983893,20
658707814,2026-07-09T21:30:09Z,NFLX,"$NFLX who doesn’t want more live sports?  They’ve already pursued this, lol.  News?  What news?",Bullish,1171990,179
658707806,2026-07-09T21:30:02Z,NFLX,$NFLX I can feel the CEOs of Netflix getting ready for the call next week to fuck up the shorts,,10556995,51
658707764,2026-07-09T21:29:25Z,NFLX,$NFLX down ~2% on reports it’s considering live TV to boost engagement.    Pretty full-circle moment for the original streaming disruptor. Market seems unsure if this is a growth lever or just a sign the old TV bundle keeps pulling everyone back.,,6986719,7
658707761,2026-07-09T21:29:24Z,NFLX,"$NFLX more kpop demon hunters, less woke liberal shows nobody watches",,158553,55
658707746,2026-07-09T21:29:09Z,NFLX,$NFLX could’ve been an algorithm sale based on news designed for lower entry. It was a bear trap,,8809643,1
658707743,2026-07-09T21:29:08Z,NFLX,$NFLX what a trash heap of a stock. Surprised an activist hasn’t come in,,10659246,9
658707718,2026-07-09T21:28:44Z,NFLX,$NFLX rejected that 1st resistance I posted last week at 77.8/78 and regained the untested level at 74.1.  Now it ideally needs to stay above 74$  (else it can retest 72 area) and get through 78.8$ pivot.  (I alerted on long at or below 72$ and will keep updating as charts progress),,113719,7259
658707709,2026-07-09T21:28:37Z,NFLX,$NFLX will skyrocket after earnings.. they cant lose employees so stock has to be in line with their comp,,10069969,3
658707690,2026-07-09T21:28:21Z,NFLX,$NFLX thanks for the dip,,4837823,61
658707684,2026-07-09T21:28:18Z,NFLX,$NFLX when this stock blows it out of the waters post earnings I don’t want to hear it.,Bullish,3529527,12
658707676,2026-07-09T21:28:12Z,NFLX,"$NFLX testing the next retention lever: live TV + more bundles, per WSJ.    Not a flashy headline. More like a churn-control move. The market will care less about “new content” here and more about whether this keeps subs locked in without wrecking margins.    Good news if it stabilizes the base. Not a free pass if costs start creeping.",,6987685,5
658707672,2026-07-09T21:28:06Z,NFLX,$NFLX there is no manipulation here,,10556995,51
658707670,2026-07-09T21:28:05Z,NFLX,$NFLX funny some don’t realize this WSJ piece is just what was necessary to sent the stock soaring up with conviction. Turning green over night/ early morning and should hit low 80’s but end of day tomorrow!,Bullish,483393,5
658707663,2026-07-09T21:28:02Z,NFLX,$NFLX It is actually a good news,Bullish,9828434,63
658707656,2026-07-09T21:27:58Z,NFLX,"$NFLX the biggest pro Israel company. Pushes communism, degeneracy, LGBTQ, Social Marxism &amp; Zionism on the highest level. Should be burnt to the ground.",,6162815,43
658707653,2026-07-09T21:27:51Z,NFLX,$NFLX will be green,,739794,18
658707624,2026-07-09T21:27:23Z,NFLX,$NFLX pain pain and more pain,,674790,107
658707621,2026-07-09T21:27:22Z,NFLX,$NFLX you never can know what’s about to happen with this one haha. Oh man. WSJ article is all old news IMO.,,9069027,24
658707609,2026-07-09T21:27:13Z,NFLX,$NFLX buy Netflix prior to pre ER run up at 74?Pe 23 and eps in the 3’s…   Yes . The answer is yes.   But for a quick trade. Glta,Bullish,8838681,131
658707586,2026-07-09T21:26:52Z,NFLX,"$NFLX this pushed off lows today to close around high of day on 15m shares; around 500k have sold after hours, lol.  This will move right back up as big boys scoop more cheapies.",Bullish,1171990,179
658707545,2026-07-09T21:26:18Z,NFLX,$NFLX now we kill shorts,,1518937,280
658707533,2026-07-09T21:26:06Z,NFLX,$NFLX They just need a few more ceos. That&#39;ll fix it.,,5300226,62
