id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658708315,2026-07-09T21:37:09Z,NOW,$NOW  $220,,6833904,29
658707224,2026-07-09T21:21:53Z,NOW,$NOW Time to get serious NOW,Bullish,3089382,84
658707084,2026-07-09T21:20:08Z,NOW,$NOW what a day 😮‍💨,Bullish,10789778,4
658706234,2026-07-09T21:08:36Z,NOW,"Portfolio flat today, but after yesterday’s +3% rip, I’ll gladly take it!      Still looking to add 1-2 more names  $RKLB, $OUST, and $NOW are at the very top of my wishlist. Is 7 stocks the ultimate sweet spot? Full watchlists and entry zones are posted on my profile!",,10982414,255
658705824,2026-07-09T21:03:39Z,NOW,$NOW textbook shakeout today,Bullish,10299429,21
658705647,2026-07-09T21:01:23Z,NOW,$NOW make us tons of money,Bullish,9069027,24
658703951,2026-07-09T20:40:17Z,NOW,$NOW 👌🏼,Bullish,10865738,11
658703922,2026-07-09T20:40:02Z,NOW,$NOW,Bullish,10865738,11
658703860,2026-07-09T20:39:28Z,NOW,$NOW,Bullish,10865738,11
658703834,2026-07-09T20:39:12Z,NOW,$NOW 🔥,Bullish,10865738,11
658703800,2026-07-09T20:38:57Z,NOW,$NOW,Bullish,10865738,11
658703018,2026-07-09T20:31:45Z,NOW,$NOW good stuff happening over here,,9069027,24
658702963,2026-07-09T20:31:16Z,NOW,"$ORCL $NOW $CRWV all trading like the market already wrote the obituary.    But are the businesses actually broken? Different question.    Price action says fear. Fundamentals don’t scream “dead company” yet.    That gap is where trades get interesting… or where value traps start. Need confirmation, not vibes.",,6955532,7
658701748,2026-07-09T20:19:47Z,NOW,Optionheimer apparently made that comment and then blocked me so repost this reply so he can see it.  The rally is over the last 9 trading days and $NOW is up almost 20%. Has every indication that it’s going to continue through earnings as well.  Maybe you’re not paying attention or maybe you’re just an ass. Probably the latter.,,4051491,52
658700189,2026-07-09T20:06:13Z,NOW,$NOW 1 heck of a bullish engulfing candle off a major gap support,,9656547,17
658697607,2026-07-09T19:50:46Z,NOW,"$NOW looks like big boys are covered, atleast 10% run tomorrow would be nice.",Bullish,9597502,2
658696978,2026-07-09T19:46:31Z,NOW,$NOW  Huh? Don’t you mean 4  FRIDAY/MONDAY/TUESDAY/WEDNESDAY,,9945997,262
