id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658617628,2026-07-09T01:42:40Z,NVDA,$AMD $NVDA $SPY $QQQ  bullish for AMD,Bullish,1600145,511
658617521,2026-07-09T01:40:06Z,NVDA,$NVDA holding up well in overnight trading. See they can move this up if they want. $210 EOW.,Bullish,5728136,86
658617468,2026-07-09T01:38:54Z,NVDA,$AMD $NVDA $SPY $QQQ,Bullish,1600145,511
658617054,2026-07-09T01:29:12Z,NVDA,$NVDA,Bullish,10987204,0
658617052,2026-07-09T01:29:10Z,NVDA,$NVDA,,3367713,415
658617030,2026-07-09T01:28:50Z,NVDA,$NVDA,,3367713,415
658617021,2026-07-09T01:28:41Z,NVDA,$NVDA a complete and utter embarrassment with the Democrat party is due to the Democrats,,3367713,415
658616884,2026-07-09T01:25:57Z,NVDA,$NVDA &amp; $AAPL competing for top dog is a good thing. $SPY $QQQ,Bullish,1404072,410
658616859,2026-07-09T01:25:14Z,NVDA,$PLTR USA BOmBs Away $NVDA sovereign ai for the win. When you need it killed call your man magic karp.  Trump has a huge stake massive software growth and leverage.,Bullish,1620888,153
658616846,2026-07-09T01:24:54Z,NVDA,"$NVDA Getting interesting.   No position, YET!",Bearish,7696507,826
658616755,2026-07-09T01:22:46Z,NVDA,"$AMD $NVDA   If u own either of these, consider reading the entire thread…  Meanwhile, yesterday I said don’t forget the China upside for NVDA.  They just approved a bunch of H200s “ for training.” Check this guy’s note out:  https://x.com/jukan05/status/2074871701616329193?s=10",,476347,940
658616734,2026-07-09T01:22:26Z,NVDA,$NVDA $AVGO $BE $MU   Friday     SK hynix trades under the symbol SKHYV as ADR The price could be 16.60 taking into Korean win as of today FYI,,5869427,632
658616710,2026-07-09T01:22:03Z,NVDA,$NVDA $220 soon.,Bullish,9010143,67
658616605,2026-07-09T01:19:57Z,NVDA,$NVDA  Finally???,Bullish,840008,449
658616552,2026-07-09T01:18:53Z,NVDA,$NVDA I’m a bear but I def would be selling $AMD here before I sold $NVDA,Bearish,418100,206
658616530,2026-07-09T01:18:16Z,NVDA,$NVDA I hope by Friday under 190,Bearish,338407,10
658616438,2026-07-09T01:15:45Z,NVDA,$NVDA  Nvidia Is the Cheapest Quality Chip Name in the US  https://stocksdownunder.com/nvidia-is-the-cheapest-chip-name/,Bullish,6036495,177
