id,created_at,symbol,body,sentiment_basic
658707954,2026-07-09T21:32:15Z,ORCL,$ORCL holy shit finally Green Day … now followed by 6 red days ?,
658705532,2026-07-09T20:59:54Z,ORCL,"$META $MSFT $ORCL $SPY hello zuckers, watch and learn from daddy kiddos 🥸🥸🥸🤩🤩🤓🤓😎😎",
658705363,2026-07-09T20:57:40Z,ORCL,$ORCL bond downgraded to junk but too bad they already completed their blockbuster bond sale sucker $,Bullish
658704444,2026-07-09T20:45:54Z,ORCL,$ORCL I’m so far underwater on this one it’s gonna take me a year to break even. 😂,
658704403,2026-07-09T20:45:28Z,ORCL,"$META $NFLX meta should really buy $NFLX $125 , cask cow with 300m users based Fb has 2b members easy for them to beat YouTube and TikTok. $GOOG $ORCL",
658704085,2026-07-09T20:41:53Z,ORCL,"$ORCL  they downgraded the market too, didn’t stop it from hitting ATH",
658703970,2026-07-09T20:40:27Z,ORCL,"@SpartanB68 yeah a green day is precious to these stocks lol, like $ORCL 14 red in a row",
658703708,2026-07-09T20:38:15Z,ORCL,"$ORCL Agreed, but they need to look for more clients rather than to depend heavily on OpenAI",
658703666,2026-07-09T20:37:50Z,ORCL,"$ORCL premium expensive af to trade this bitch but volatility is king, look at that 4hr set up",
658703118,2026-07-09T20:32:41Z,ORCL,"$ORCL to $10? Sounds wild, but I don’t think it’s crazy.    If the structure keeps tightening and buyers stay in control, that kind of move isn’t off the table. Watching momentum and volume here. 💰",
658702963,2026-07-09T20:31:16Z,ORCL,"$ORCL $NOW $CRWV all trading like the market already wrote the obituary.    But are the businesses actually broken? Different question.    Price action says fear. Fundamentals don’t scream “dead company” yet.    That gap is where trades get interesting… or where value traps start. Need confirmation, not vibes.",
658702917,2026-07-09T20:30:52Z,ORCL,"My advice for July 9th:    $PLTR  - Don’t buy  $ORCL - Don’t buy  $NVDA - Buy at $188-$196  $MSFT - Buy at $370-$378    The market always creates opportunities, but the best trades usually come when price reaches your levels, not when emotions take over.    The next list is about to be released!  Are you going to miss out again?           I’m not financially struggling, so I choose to share it for free.",
658702361,2026-07-09T20:25:42Z,ORCL,$ORCL,
658701735,2026-07-09T20:19:43Z,ORCL,$ORCL solid day.,Bullish
658701560,2026-07-09T20:18:04Z,ORCL,$ORCL,Bullish
658701340,2026-07-09T20:15:57Z,ORCL,$ORCL loaded 143 calls at the close. Let’s get another 200% print tomorrow,Bullish
658700939,2026-07-09T20:12:33Z,ORCL,"$ORCL Anyone dumping their shares here will likely feel the same regret as those who sold Intel under $25 last year. By year-end, they’ll be banging their heads against the wall.",
658700877,2026-07-09T20:12:04Z,ORCL,$ORCL We expect to hear from ORCL tomorrow and respond to this downgrade ..very strange timing 🫢,Bullish
658699381,2026-07-09T20:01:09Z,ORCL,$ORCL This is going to do what $MSFT did it bottomed on June 25.    I believe Oracle has bottomed and will make a nice move to a more reasonable valuation just like Microsoft.    I got in yesterday and I&#39;m holding both for the long term.  glta,Bullish
