id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658708349,2026-07-09T21:37:39Z,PLTR,$PLTR dude seriously? Imma sell my whole damn position tomorrow if this continues,,3758328,53
658708199,2026-07-09T21:35:30Z,PLTR,$PLTR what is up with this stock lately?,,1696853,79
658706756,2026-07-09T21:15:35Z,PLTR,$PLTR,,7265314,71
658706408,2026-07-09T21:11:19Z,PLTR,$PLTR printed a clean EMA undercut + hammer today.    Nice shakeout look if buyers follow through. Watching for a breakout attempt tomorrow if it can clear today’s range with volume.,,6987680,8
658706290,2026-07-09T21:09:32Z,PLTR,$PLTR GOING LARGE TOMMORROW,Bullish,7265314,71
658705859,2026-07-09T21:04:10Z,PLTR,"Stocks to Watch in July     $PLTR - 128 → 350   $CRWD - 198 → 400   $PANW - 336 → 630   $NET - 274 → 420   $DDOG - 268 → 480     The focus is on businesses with strong demand trends, expanding markets, and the ability to compound over time. Watching price action and execution will matter most.    Want to see my highest-conviction names, portfolio moves, and trade ideas? Check my profile for more.",,11013265,138
658705799,2026-07-09T21:03:25Z,PLTR,"$PLTR Palantir Technologies (PLTR): Reported an annual net income of $1.625 Billion.    &quot;For a $309 billion market cap, a &quot;valid&quot; net income fundamentally depends on the industry, as companies trade at vastly different Price-to-Earnings (P/E) Ratios. However, based on the broader market&#39;s average P/E Ratio, a typical net income would be $12 billion to $24 billion&quot;",,6082209,119
658704406,2026-07-09T20:45:29Z,PLTR,$PLTR annnnddd here’s proving him wrong again lol .. Or yet a clearer version.. Same as some insiders selling a small portion that was scheduled for tax reasons.. Live how he leaves things out which cancels all his arguments . Smart lol,Bullish,3116741,84
658704029,2026-07-09T20:41:09Z,PLTR,$PLTR So I was browsing my watch list and focused in on $DDOG. They are up 73.5% on the year and have a PE of 696 vs the $PLTR  PE of 149.  Why isn&#39;t Michael Burry salivating all over them instead of us??,Bullish,376955,68
658703753,2026-07-09T20:38:39Z,PLTR,"$PLTR karp&quot;I only need about 100 billion in share value every 5 years, company doesn&#39;t run by itself&quot;",,6082209,119
658703218,2026-07-09T20:33:32Z,PLTR,$PLTR easy buy today at 9sma touch. Added PLTU and PTIR,,296686,2334
658702998,2026-07-09T20:31:34Z,PLTR,"$PLTR  keep giving karp your money, he only needs to take 21 billion a year from your shares to give to his employees, because aparrently pltr doesn&#39;t make enough for buybacks or to pay his workers with their own profits.  only 100 billion every 5 yeara, so nice of you all to donate.",,6082209,119
658702917,2026-07-09T20:30:52Z,PLTR,"My advice for July 9th:    $PLTR  - Don’t buy  $ORCL - Don’t buy  $NVDA - Buy at $188-$196  $MSFT - Buy at $370-$378    The market always creates opportunities, but the best trades usually come when price reaches your levels, not when emotions take over.    The next list is about to be released!  Are you going to miss out again?           I’m not financially struggling, so I choose to share it for free.",,10982665,246
658702603,2026-07-09T20:28:01Z,PLTR,$PLTR Lots of Weak hands fumbled today… You know what happens after that.. 🔮,Bullish,8467158,64
658702475,2026-07-09T20:26:46Z,PLTR,$PLTR BIG DAY TOMORROW BOYS,Bullish,7265314,71
658701898,2026-07-09T20:21:16Z,PLTR,"$PLTR Dips are getting bought, and once again was able to close above the 20 day moving average  https://share.trendspider.com/chart/PLTR/6682dybfvw",Bullish,178225,60619
658701840,2026-07-09T20:20:35Z,PLTR,$ADTX $BDRBF $NVDA $PLTR $SPCX,,9455549,59
658701649,2026-07-09T20:18:56Z,PLTR,$PLTR For Duh 🐻!,Bullish,4785026,67
658701002,2026-07-09T20:13:08Z,PLTR,$PLTR $140 at open tomorrow sounds about right! Bye bears:,Bullish,7062400,88
658700908,2026-07-09T20:12:17Z,PLTR,$PLTR Should be $145,Bullish,5112340,50
658700443,2026-07-09T20:08:20Z,PLTR,$PLTR,Bullish,3116741,84
658699486,2026-07-09T20:01:43Z,PLTR,$PLTR exact same day as yesterday but 3 ish bucks lower. I guess expect the same tomorrow. Dump down to 120 and recover to 125,,2951181,3
658699357,2026-07-09T20:01:03Z,PLTR,$NRED.CSE $PLTR $SNOW $FCX Green days get attention. Holding those gains is what builds confidence. 📈 $NREDF,Bullish,11035562,0
658698623,2026-07-09T19:56:55Z,PLTR,$PLTR $HOOD lot of calls few puts just Incase.  Easy dollas,Bullish,3032071,271
658698622,2026-07-09T19:56:54Z,PLTR,"$PLTR 🍀🍀🍀🍀🍀🍀🍀🍀  Despite a good bounce from its recent lows, Palantir stock still has lots of upside left.  KEY POINTS   Shares of Palantir sold off with the broader software sector earlier this year.  The company continues to produce excellent financial results, and its software isn&#39;t easily replicated.  Its upside depends on expectations for the long-term addressable market and Palantir&#39;s ability to capture it.",Bullish,5934041,7
658698492,2026-07-09T19:56:18Z,PLTR,$PLTR nice rebound,,6976465,27
658697981,2026-07-09T19:52:58Z,PLTR,$PLTR wasteful day on a beautiful Green Day,,3758328,53
658697956,2026-07-09T19:52:48Z,PLTR,$PLTR gimme 129.11 cmon. never forget.,,9258594,44
658697671,2026-07-09T19:51:08Z,PLTR,$PLTR 130’s tomorrow,Bullish,3116741,84
658697441,2026-07-09T19:49:44Z,PLTR,$PLTR,,9258594,44
658697289,2026-07-09T19:48:45Z,PLTR,"$PLTR As long as this MA cluster holds, the uptrend remains intact. Weak hands out, strong hands in.",Bullish,220759,1191
658696731,2026-07-09T19:44:37Z,PLTR,$PLTR running the last quarter over $129 headed for $132 after hours and $135 EOD tomorrow.,Bullish,3273145,23
658696639,2026-07-09T19:43:54Z,PLTR,$PLTR Unsure what the shorts are thinking with how well this along with other software names have steadily rallied after the morning dip. Semi&#39;s up and selling off now. This is going to continue higher into the weekend,Bullish,217545,120
658696366,2026-07-09T19:42:00Z,PLTR,$PLTR watching this form on the 2hr chart.  No pos. yet.  Just watching.,,70365,126872
658696264,2026-07-09T19:41:24Z,PLTR,$ADTX  choo choo!! 🙏😍  did the same with OTC $BDRBF  still in OTC look at it now   we&#39;ll see $NVDA $PLTR $SPCX,,11043567,5
658696174,2026-07-09T19:40:48Z,PLTR,$PLTR like I said long mf day in a greeeeeen market smh,,3758328,53
658695449,2026-07-09T19:35:23Z,PLTR,$PLTR be careful now,,4123350,202
658694708,2026-07-09T19:29:44Z,PLTR,$PLTR FUCK IT GOING JET SKIING!!!,,3326188,2047
658694526,2026-07-09T19:28:22Z,PLTR,$PLTR $SPY FRIDAY $7UP!!!,,3326188,2047
658694387,2026-07-09T19:27:14Z,PLTR,$PLTR i heard world war 3 is kicking off. Petey will be safe in his new bomb shelter.,,9258594,44
658694124,2026-07-09T19:25:16Z,PLTR,$PLTR aka $350 per share!!!    https://sih-st-charts.stocktwits-cdn.com/fit-in/300x0/filters:quality(75)/production/original_585924197.png,,3326188,2047
658694054,2026-07-09T19:24:43Z,PLTR,@Jeremymartin007 @simon58 @judgeyoung2 @jenbunn @EBE_day @ribbey @TraderRapp @Godreal1 @tonyctl @zuby34   $PLTR options are cheaper than $UAL,,494832,10699
