id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658708291,2026-07-09T21:36:47Z,QCOM,$MU $ORCL $QCOM Solid Day. Let’s see what tomorrow and next week have in store!!!,Bullish,8065889,35
658708176,2026-07-09T21:35:08Z,QCOM,$QCOM by next week we will get news,,8768725,178
658707674,2026-07-09T21:28:08Z,QCOM,$QCOM  that was a very healthy way to absorb selling.,,962572,108579
658706448,2026-07-09T21:11:46Z,QCOM,$QCOM entry. Ride tp1 : $230,,2080477,1
658700629,2026-07-09T20:09:47Z,QCOM,$QCOM They need to release some news with hyperscaler to get out of this zone. Cant believe it lost most of the gains today when other semis doing good.,,1274577,59
658694581,2026-07-09T19:28:46Z,QCOM,$QCOM 😅😅😅😅,Bullish,9890348,22
658691449,2026-07-09T19:05:07Z,QCOM,"We&#39;re in $SOXL, $NVDA $QCOM $AVGO and $MRVL.  We&#39;ve got this space covered!",,70365,126872
658691168,2026-07-09T19:03:10Z,QCOM,"$QCOM As usual competitor ARM, 15 times more expensive with only 1/8th the revenue, yet its up over 10% without resistance and we are fading at 2%. No sensibility.",,7076131,62
658684027,2026-07-09T18:07:37Z,QCOM,$QCOM jsut fucking retarded whole market is going up and up and this is slowly goind down and down.,,3180509,118
658683865,2026-07-09T18:06:22Z,QCOM,$QCOM king of edge ai over the next 5 years likely to experience an Nvidia type of move imo,Bullish,5770416,93
658677683,2026-07-09T17:18:57Z,QCOM,"What&#39;s up with $QCOM today?   Up 3% and breaking out   Those call sweeps at $190 to $192.5 strikes are catching eyes and showing aggressive moves   Big money in the 7/31 $192.5 calls with $3.1M in premiums and fresh positioning there   AI software M&amp;A chatter in the mix too   But with front month IV at 70 to 80%, it might be smart to look at risk defined plays instead of going all in on naked calls   Keep an eye on that momentum",,4012727,2214
658672738,2026-07-09T16:40:54Z,QCOM,$QCOM 🏆🌹,Bullish,9890348,22
658670465,2026-07-09T16:24:42Z,QCOM,"China’s smartphone sales declined -13% y/y during the 618 promotional period, mainly due to price hikes driven by higher memory prices    Huawei led the market w/ a 21% share, and it was the only major brand to achieve positive y/y growth during the 618 period    $AAPL began its promotional campaign about one month ahead of the 618 day, offering total savings of up to CNY 2,000 on the iPhone 17 Pro series thru a combo of official discounts, platform promotions &amp; trade-in incentives. The price cuts quickly translated into stronger sales, lifting Apple to the No.2 spot in the market. Despite the sequential rebound, sales were still down -9% y/y, primarily due to the more aggressive promotional activity for the iPhone 16 series in the same period last year    CounterPoint: The 618 shopping festival, combined with the first wave of post-college-exam upgrades, drove a month-on-month recovery in June. However, the market is expected to enter a seasonal slowdown afterward. Frequent signals from smartphone vendors and supply chain partners have made it clear to consumers that price hikes are likely to persist in the second half of the year. In such a situation, users with genuine upgrade demands tend to bring forward their purchases to the 618 period. At the same time, smartphone OEMs have adopted a profit-first and conservative strategy, further scaling back shipment plans for the year. We expect the overall Chinese smartphone market to post a double-digit decline in shipments for the full year.    $FXI $QCOM",,11403,44930
658667756,2026-07-09T16:06:23Z,QCOM,"$QCOM seeing massive institutional option sweepers! 100% Calls!    Absolute whales are repeatedly hammering Qualcomm with size, stacked orders of $837K, $835K, and $842K hitting the 07/31 192.5C repeatedly! Call flow is currently $5.8M vs $0 in puts-literal 100% bullish pressure on the tape. Smart money is heavily front-running a massive breakout above this zone.    Full dark pool flow tracking and real-time institutional option block charts pinned on my profile.",,10982414,255
658663744,2026-07-09T15:39:00Z,QCOM,🔥 $QCOM call buyers stacking in    Bullish flow coming in with size 👀    🟢 $837.5K — 192.5C 07/31/26  🟢 $835K — 192.5C 07/31/26  🟢 $842.5K — 192.5C 07/31/26    📊 Call flow: $5.8M  🐂 Put flow: $0  ⚡ 100% calls on the tape    Whales loading the same strike/expiry repeatedly — watching for continuation above this zone. 🚀,,4539333,17921
658663667,2026-07-09T15:38:19Z,QCOM,"$QCOM Don&#39;t worry guys, it was green before my A$$ decided to show up!! They handed me that red card so fast...thought I was in the World Cup",Bullish,9208707,7
658660859,2026-07-09T15:17:23Z,QCOM,$QCOM $QQQ  booked free 🔔 link in the bio,Bullish,859455,62
