id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658707917,2026-07-09T21:31:46Z,TSLA,Sold new $TSLA Covered Calls:    - 7/17 $430C    ✅ Added Premium: $560    I will be selling these shares at $430 if it comes to that    Until I sell them I will keep selling CCs for these 200 shares in the $420-$440 range,,10810785,897
658707886,2026-07-09T21:31:14Z,TSLA,$TSLA Elon for Pres - w/b best ever!,,10293878,38
658707868,2026-07-09T21:30:56Z,TSLA,$TSLA Tomoreow we will retest $425 - $430,Bullish,2955349,48
658707715,2026-07-09T21:28:40Z,TSLA,$TSLA 430,Bullish,9406708,338
658707643,2026-07-09T21:27:41Z,TSLA,$TSLA,Bearish,6035099,380
658707616,2026-07-09T21:27:18Z,TSLA,"$SPCX $TSLA    Wild look: trash-talking your biggest lease customer, then remembering the cash burn profile gets a lot uglier without them.    Structure still comes down to dependency risk + liquidity math. Without that customer, burn could be ~3x higher. That’s not noise.",,6987674,11
658707359,2026-07-09T21:23:43Z,TSLA,"Humanoid robotics is entering a new phase.    China currently dominates much of the humanoid robot supply chain, but the U.S. ecosystem is rapidly accelerating with companies focused on AI, hardware, and commercialization.    $TSLA continues pushing toward large-scale humanoid production, while companies like 1X are advancing robotic hardware capabilities.    The real opportunity may not be one single winner, but the entire robotics stack: AI models, sensors, manufacturing, and deployment.    The market is still early, but the next few years could define the leaders of the humanoid era.    Watching robotics closely as this trend moves from prototypes toward real-world adoption.    Follow for more AI, robotics, and emerging technology trends.",,10835530,945
658706815,2026-07-09T21:16:20Z,TSLA,Opened Trades Today:    $AMD CC   $TSLA CC    Rolled Trades Today:    NONE    Closed/Expired Trades Today:    $META PCS  $NBIS CSP  $AMD CSP  $MRVL CSP  $TSLA CC    The detailed stock list and strategies have been shared with the community; please visit my profile to view them.,,10810785,897
658706799,2026-07-09T21:16:09Z,TSLA,$BB https://techcrunch.com/2026/07/08/feds-demand-autonomous-vehicle-companies-stop-interfering-with-first-responders/    $TSLA $GOOG,,6635624,192
658706550,2026-07-09T21:12:58Z,TSLA,$TSLA we will have a 3 to 4 days runner,Bullish,6821462,14
