id,created_at,symbol,body,sentiment_basic,user_id,user_followers
658702822,2026-07-09T20:30:01Z,UBER,$UBER,,224803,612
658701423,2026-07-09T20:16:40Z,UBER,$UBER this time feels different . i like how it didn’t get too overextended after the pelosi hype. get those weak hand traders outta here,Bullish,8891283,56
658694938,2026-07-09T19:31:19Z,UBER,$UBER 100 very soon🚀🚀🚀🚀🚀,Bullish,9828863,8
658678837,2026-07-09T17:28:23Z,UBER,$UBER 80,,2895462,4
658677229,2026-07-09T17:15:12Z,UBER,@HaywoodJ I think it would be good if you want to buy the dip on $UBER when it’s available but $UBER itself lollygagas when it comes to price movement sometime,,1892632,210
658672667,2026-07-09T16:40:26Z,UBER,$UBER nobody buys the leverage etf that follows this stock,,1892632,210
658668654,2026-07-09T16:12:23Z,UBER,"$UBER RSI has been putting in higher lows since early June.    There’s a clear volume shelf in the $74-$75 area. A clean close above it and a successful retest could open the door to $80.    That shelf also lines up with the 200SMA, now sitting at $80.67.",,6986801,10
658667492,2026-07-09T16:04:36Z,UBER,$UBER tight range. Added a few weekly $75 for 0.27,Bullish,1190075,49
658666800,2026-07-09T15:59:49Z,UBER,"$SNDK $UBER $SPY   raise the rates, kevin!",,3872468,44498
658665418,2026-07-09T15:50:42Z,UBER,$UBER I swish it was a etf or a stick to short uber instead of having to borrow shares or risk a put contract $SPY,,1892632,210
658665100,2026-07-09T15:48:29Z,UBER,$UBER 100$+ stock,,3732515,0
658659444,2026-07-09T15:07:19Z,UBER,$UBER pelosi bought more lmao? starting Running wild,,11050925,0
658657784,2026-07-09T14:55:43Z,UBER,$UBER Bruh... sometimes it&#39;s best not to speak your mind,,5212486,29
658657235,2026-07-09T14:52:13Z,UBER,"$HTZ people forget that even though there’s significant debt, the spike in vehicle prices in the last 1-2 years has substantially improved asset equity.  There’s a ton of unlocked value, and any partnership with either $UBER or $TSLA for deployment of their autonomous vehicles would be a massive catalyst. Tesla doesn’t truly have a deployment hub for their autonomous vehicle program, this is the way.",Bullish,3805469,1
658655365,2026-07-09T14:39:54Z,UBER,"$UBER Undervalued IMO, but quite the boring hold the last few months with it trading in a fairly narrow range. So I&#39;ll hold a few more months.🤷‍♂️  Would add at 65",,4054467,49
658653327,2026-07-09T14:27:31Z,UBER,$UBER 👀,,224803,612
658650096,2026-07-09T14:10:00Z,UBER,$UBER,,8524766,54
658648655,2026-07-09T14:02:33Z,UBER,$UBER when I read this type of crap I know the bears ran out of FUD 😂,,10075830,34
658647832,2026-07-09T13:58:46Z,UBER,"$UBER y/y car sales are declining in north america, and younger generations have a much lower percentage getting their licenses. it’s clear that you have no idea what you’re talking about",Bullish,8891283,56
658641645,2026-07-09T13:26:15Z,UBER,$UBER people prefer the bus and/or buying their own car these days also UBER needs to pay more taxes,Bearish,11051355,3
658641612,2026-07-09T13:25:59Z,UBER,$UBER I sold a put on this hoe. Will try to buy back it back for cheap or I can let it expire after Friday close. If it closes below I’m assigned,,9791683,9
658637918,2026-07-09T12:52:13Z,UBER,$UBER goes down with software and goes down with semis. Pretty much goes down everyday,,4683176,18
658631267,2026-07-09T11:33:02Z,UBER,$UBER what happens when drivers develop their own ride hailing platform using claude code and skip the middle man?,Bearish,3781044,147
658631246,2026-07-09T11:32:44Z,UBER,"$UBER Established a full position yesterday, might add to overweight if it breaks 80, stop around 69",Bullish,382887,7
658627376,2026-07-09T09:35:28Z,UBER,$UBER,Bullish,1332712,92
658622360,2026-07-09T04:08:27Z,UBER,$UBER This stock is rubbish.,Bearish,494623,112
658617805,2026-07-09T01:47:09Z,UBER,"$UBER fib extension 1.618 is around $123, the question is when? 🧐",Bullish,1065194,331
658610217,2026-07-08T23:08:57Z,UBER,"Stocks to Watch in July:    A focused list of names I’m monitoring for potential breakouts, strong momentum, and upcoming opportunities this month.    $JPM -325 → 532   $V -327 → 420   $MA - 490 → 720   $UBER -72 → 225      I often get asked why I don’t turn this into paid content, but for me, sharing stock information is just a hobby. I’m not financially struggling, so I choose to share it for free.",,7021054,2731
658607745,2026-07-08T22:23:19Z,UBER,"$HTZ $UBER  🚀  Hertz launches affiliate Oro Mobility as part of its strategy to expand into new mobility vectors, announcing Uber as its first major partner and extending the companies’ long-standing rideshare rental partnership.  https://investor.uber.com/news-events/news/press-release-details/2026/Hertz-and-Uber-Partner-to-Power-Autonomous-Robotaxi-and-Driver-Led-Fleet-Operations/default.aspx",Bullish,11044299,0
658606406,2026-07-08T22:01:15Z,UBER,"$UBER investors be careful &amp; person &amp; persons will be filing a Major lawsuit against UBER as they DONOT properly vet drivers , some are criminals &amp; work together with crime rings to identify who is in the car &amp; plan theft , attacks , steal watches , jewelry &amp; they prey on unknowing passengers . Some have ended in VIOLENT attacks at gunpoint . The stock will CRASH upon going to the courts . Get out while you can &amp; if this has happened to you REPORT IT . Stock will CRASH . Giving you a 2 month heads up",Bearish,8900310,52
658603831,2026-07-08T21:23:13Z,UBER,$UBER Dara is a ISIS terrorist,,9549450,13
658600877,2026-07-08T20:44:38Z,UBER,"$UBER Dara stepping down from SE Asia&#39;s Grab board was a decisive move, similar to how he decoupled with Waymo. Uber plans on taking over global transportation with a better partner&#39;s Robotaxis. Decoupling with Google is a tremendous step towards AV independence and I&#39;m intrigued to see who Uber will partner with next",Bullish,3758762,4
658592255,2026-07-08T19:37:13Z,UBER,$LYFT Lyft (NASDAQ: LYFT) has one of the stronger short squeeze setups among mid-cap stocks. WL: $WEN $GME $UBER,,8575067,16
658583946,2026-07-08T18:33:06Z,UBER,"$HTZ $HTZ Market&#39;s pricing a broken rental car company and missing the option.  Hertz&#39;s problem isn&#39;t depreciation — it beats $CAR on DPU. It&#39;s utilization: the cars sit idle. One buyer can fix that → $UBER. 40M trips/day, a $10B AV program, and no fleet-ops backbone. Rent/ride/sell flex turns idle cars into revenue, and Hertz is the ready-made national robotaxi fleet layer Waymo/Amazon/Tesla all lack.  A strategic buyer could justify ~$7 (vs ~$3-4 tape) and still get paid back in ~2-3 yrs, accretive year one.  But: neg book equity, 2028 maturity wall, dilution, and a deal may never come. Speculative optionality — not a promise. 🎲",Bullish,29353,5
658578223,2026-07-08T17:48:52Z,UBER,"$HTZ $CAR $LYFT $GRAB $UBER    Hertz&#39;s recent major financial crisis was primarily caused by its massive, failed bet on Tesla. In 2021, announced it would buy 100,000 Teslas to electrify its fleet, but the move resulted in billions of dollars in losses that ultimately forced out its CEO and triggered a massive sell-off of these cars.  The key factors behind this failure were: 1. Elon Musk&#39;s &quot;Depreciation Trap&quot;.  Starting in 2023, Tesla aggressively slashed prices on its new models to stay competitive. This instantly tanked the resale value of Hertz&#39;s used fleet. 2. Sky-High Repair Costs Hertz reported that its Teslas were getting into collisions more frequently repairing them was exceptionally expensive. 3. Lack of customer interest The actual rental demand for these vehicles was much lower than projected.  Hertz canceled its ambitious electrification goals to stabilize its finances, began liquidating more than 20,000 Teslas (below $20,000) and shifted back to internal combustion cars",Bullish,11044299,0
658575979,2026-07-08T17:32:03Z,UBER,$UBER  https://x.com/meetblossomapp/status/2074445915738239320?s=46,Bullish,1481077,796
658574475,2026-07-08T17:21:38Z,UBER,"$UBER Nvidia up big, this doing crap",Bearish,3781044,147
658567618,2026-07-08T16:28:44Z,UBER,"$UBER    Down ~28% from the highs, but the long-term thesis is getting interesting again.    The big debate is autonomy.    Most investors see robotaxis as a threat. The other side sees $UBER becoming the marketplace that connects riders with autonomous fleets, keeping the demand network while reducing driver dependency.    The business already has:    50M+ Uber One members  growing ads revenue  aggressive buybacks  a valuation below many peers    The question isn’t whether autonomy changes Uber — it’s whether Uber can be one of the biggest winners from it.    Is this a dip to buy or does the market know something we don’t?",,10835530,945
658567014,2026-07-08T16:24:22Z,UBER,$UBER easy buy here.  Keep fishing Shorty!,Bullish,924731,228
658564761,2026-07-08T16:07:36Z,UBER,$UBER 👀,,224803,612
658564704,2026-07-08T16:07:07Z,UBER,$UBER,,224803,612
658564402,2026-07-08T16:04:46Z,UBER,$UBER,,224803,612
658556609,2026-07-08T15:16:45Z,UBER,$UBER 72.78 added,,890904,180
658554532,2026-07-08T15:03:45Z,UBER,$UBER since february it is a range between 69 and 75. Only Small Fake Break Outs. That is so weird. When will this Change?,,10919048,1
658551391,2026-07-08T14:46:16Z,UBER,$UBER next Stop 69 again?,,10919048,1
658550704,2026-07-08T14:41:50Z,UBER,"Stocks to Watch in July:    A focused watchlist of names showing strong potential and key setups to monitor this month.    $JPM - 325 → 532   $V - 327 → 420   $MA - 490 → 720   $UBER  - 72 → 225    If you want to see the high-conviction stocks I’m watching, my full portfolio, and every trade I make…    Head to my profile.",,7021054,2731
658550492,2026-07-08T14:40:41Z,UBER,$UBER good entry point if you are not long yet and taking the long term view.,,126011,240
658550150,2026-07-08T14:38:26Z,UBER,$UBER it’s always something smh,,10386729,22
658547014,2026-07-08T14:20:33Z,UBER,$UBER the partnership narrative is over. Waymo going it alone,Bearish,3781044,147
658541666,2026-07-08T13:51:54Z,UBER,$HTZ has been dropping like crazy even though their main metrics such as Average Rentable vehicles and  &quot;Americas RAC Total RPD&quot; which measures the Average daily rental price has stayed steady    $CAR $LYFT $GRAB $UBER,,7371664,31
658538333,2026-07-08T13:36:23Z,UBER,"I bought more $UBER.  I think people are still underestimating how dominant this business can become.  Mobility, delivery, ads, subscriptions, autonomous vehicles…  Uber is quietly building one of the strongest consumer ecosystems in the world.  I’m not waiting for everyone else to realize it.  I’m buying now.",,10885391,56
658530622,2026-07-08T12:30:26Z,UBER,$UBER $LYFT 👀,,224803,612
658529155,2026-07-08T12:12:54Z,UBER,$UBER pelosi 💪,,4298342,17
